Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
54171,WI,1.44,10808.91,01/30/2006,44.71,-88.06,3;95,Oconto,55083
54843,WI,1.44,15530,08/21/2008,44.71,-88.06,3;95,Sawyer,55113
54875,WI,1.44,0.0,9/5/2003,46.01,-91.48,3;98,Washburn,55129
54729,WI,1.47,15624,09/29/2009,45.94,-91.68,4;02,Chippewa,55017
53095,WI,1.47,13965.0,10/15/2010,44.93,-91.39,3;89,Washington,55131
54827,WI,1.476,19064.57,03/24/2006,43.42,-88.18,3;77,Bayfield,55007
54451,WI,1.48,14843,08/31/2004,46.79,-91.10,3;87,Taylor,55119
54501,WI,1.485,11492.56,12/27/2006,45.13,-90.34,3;93,Oneida,55085
54751,WI,1.5,7951.74,12/20/2004,45.63,-89.41,3;92,Dunn,55033
54303,WI,1.5,16159.44,10/25/2006,44.88,-91.91,3;94,Brown,55009
53516,WI,1.5,20000,10/19/2006,44.52,-87.98,3;92,Lafayette,55065
54115,WI,1.5,14500,11/21/2008,42.80,-89.86,3;82,Brown,55009
54552,WI,1.503,25713.45,01/18/2006,44.43,-88.07,3;87,Price,55099
53523,WI,1.503,18893,10/18/2005,45.93,-90.44,3;97,Dane,55025
54665,WI,1.52,14967,10/26/2007,43.00,-89.01,3;88,Vernon,55123
54915,WI,1.52,17888,12/21/2007,43.55,-90.88,3;90,Outagamie,55087
53714,WI,1.53,0.0,06/28/2006,44.26,-88.39,3;80,Dane,55025
54455,WI,1.56,19953.4,09/27/2006,43.07,-89.38,4;07,Marathon,55073
54235,WI,1.56,8592.98,2/12/2010,44.78,-89.68,3;82,Door,55029
53589,WI,1.575,15116.11,6/9/2010,44.83,-87.37,3;82,Dane,55025
53704,WI,1.575,13250,01/29/2007,42.92,-89.22,3;95,Dane,55025
54515,WI,1.575,18228,12/26/2008,43.07,-89.38,4;04,Price,55099
53206,WI,1.575,12443.0,02/24/2010,45.53,-90.53,3;98,Milwaukee,55079
53206,WI,1.575,12443.0,02/24/2010,43.06,-87.96,3;89,Milwaukee,55079
53206,WI,1.575,12443.0,02/24/2010,43.06,-87.96,3;89,Milwaukee,55079
53206,WI,1.575,12443.0,02/24/2010,43.06,-87.96,3;89,Milwaukee,55079
53714,WI,1.58,12650,02/21/2005,43.06,-87.96,3;89,Dane,55025
54024,WI,1.6,5400.0,5/10/2010,43.07,-89.38,4;07,Polk,55095
53559,WI,1.6,10771.55,09/27/2007,45.40,-92.63,3;97,Dane,55025
54155,WI,1.62,16769.75,1/10/2008,43.17,-89.06,3;86,Outagamie,55087
53132,WI,1.62,15000,03/23/2007,44.49,-88.21,3;90,Milwaukee,55079
53209,WI,1.62,16707,05/23/2008,42.88,-88.00,3;80,Milwaukee,55079
53027,WI,1.62,15347,10/26/2007,43.06,-87.96,3;88,Washington,55131
53711,WI,1.62,11564.65,12/26/2008,43.32,-88.38,3;70,Dane,55025
53042,WI,1.62,18900,12/26/2008,43.07,-89.38,4;01,Manitowoc,55071
54484,WI,1.632,9083.0,6/11/2010,43.91,-88.03,3;84,Marathon,55073
54403,WI,1.632,15254.0,03/15/2010,44.80,-90.07,3;82,Marathon,55073
54915,WI,1.64,11350,11/30/2009,44.96,-89.64,3;84,Outagamie,55087
54914,WI,1.64,11350,11/30/2009,44.26,-88.39,3;80,Outagamie,55087
53074,WI,1.64,17690,12/29/2009,44.26,-88.39,3;83,Ozaukee,55089
54952,WI,1.64,8650.0,12/15/2010,43.39,-87.87,3;78,Winnebago,55139
53074,WI,1.64,17690.0,2/11/2010,44.21,-88.43,3;80,Ozaukee,55089
53074,WI,1.64,17690.0,2/11/2010,43.39,-87.87,3;78,Ozaukee,55089
54209,WI,1.65,15539,6/3/2004,43.39,-87.87,3;78,Door,55029
53704,WI,1.67,12945,02/21/2006,45.04,-87.29,3;79,Dane,55025
53821,WI,1.68,11412.98,09/13/2010,43.07,-89.38,4;04,Crawford,55023
53715,WI,1.68,17475,01/24/2008,43.04,-91.14,3;94,Dane,55025
54727,WI,1.68,14830.0,12/14/2010,43.07,-89.38,4;04,Chippewa,55017
53703,WI,1.68,13133.0,01/29/2010,44.95,-91.15,3;91,Dane,55025
53704,WI,1.7,18562,05/23/2007,43.07,-89.38,4;04,Dane,55025
53218,WI,1.7,13075,08/24/2006,43.07,-89.38,4;04,Milwaukee,55079
53538,WI,1.704,15450.19,07/28/2010,43.06,-87.96,3;85,Jefferson,55055
53704,WI,1.706,18635,09/25/2008,42.92,-88.84,3;74,Dane,55025
53923,WI,1.72,12556.0,09/13/2010,43.07,-89.38,4;04,Columbia,55021
53151,WI,1.728,17700,2/2/2009,43.54,-89.11,3;77,Waukesha,55133
54854,WI,1.75,10767.04,07/27/2006,42.97,-88.12,3;82,Douglas,55031
54501,WI,1.75,10488.45,01/29/2007,46.58,-91.72,3;89,Oneida,55085
53715,WI,1.75,15275,06/26/2007,45.63,-89.41,3;92,Dane,55025
53716,WI,1.75,15050,06/26/2007,43.07,-89.38,4;04,Dane,55025
53705,WI,1.76,10400,06/14/2004,43.07,-89.38,4;06,Dane,55025
53713,WI,1.792,18830,08/20/2008,43.07,-89.38,4;00,Dane,55025
54639,WI,1.792,13525.7,11/23/2009,43.07,-89.38,4;04,Vernon,55123
54820,WI,1.8,9265.0,09/19/2012,43.57,-90.63,3;91,Douglas,55031
53703,WI,1.8,11475.0,10/19/2012,46.55,-91.57,3;90,Dane,55025
54471,WI,1.8,13000.0,06/21/2004,43.07,-89.38,4;04,Marathon,55073
54209,WI,1.8,15559.05,07/18/2004,44.90,-89.41,3;84,Door,55029
54529,WI,1.8,22250,07/25/2006,45.04,-87.29,3;79,Oneida,55085
54986,WI,1.8,13958.02,12/27/2006,45.66,-89.65,3;91,Winnebago,55139
53913,WI,1.8,20512.86,01/24/2008,44.11,-88.71,3;73,Sauk,55111
53202,WI,1.8,28494.48,05/23/2008,43.46,-89.74,3;82,Milwaukee,55079
53704,WI,1.8,4484,12/4/2002,43.06,-87.96,3;82,Dane,55025
54481,WI,1.8,12000.0,06/28/2010,43.07,-89.38,4;04,Portage,55097
54235,WI,1.82,10793,12/29/2009,44.54,-89.56,3;80,Door,55029
53704,WI,1.837,13495.6,10/27/2005,44.83,-87.37,3;82,Dane,55025
53703,WI,1.84,13462,12/29/2009,43.07,-89.38,4;04,Dane,55025
54772,WI,1.84,15279.37,10/15/2010,43.07,-89.38,4;04,Dunn,55033
54235,WI,1.84,14564.28,07/14/2010,45.04,-91.90,4;01,Door,55029
53705,WI,1.84,18890.0,05/13/2010,44.83,-87.37,3;82,Dane,55025
54210,WI,1.845,19823.45,04/27/2009,43.07,-89.38,4;00,Door,55029
53715,WI,1.845,16795,09/25/2008,45.25,-87.06,3;84,Dane,55025
54156,WI,1.85,18785.49,12/30/2003,43.07,-89.38,4;04,Marinette,55075
53704,WI,1.87,12970,04/25/2006,45.63,-88.00,4;05,Dane,55025
54865,WI,1.872,18913.5,12/11/2007,43.07,-89.38,4;04,Bayfield,55007
54501,WI,1.872,22390.77,01/29/2007,46.77,-91.38,3;80,Oneida,55085
53593,WI,1.896,11640.14,08/30/2006,45.63,-89.41,3;92,Dane,55025
53072,WI,1.896,12768.23,11/29/2006,42.98,-89.53,3;93,Waukesha,55133
53593,WI,1.896,22056.43,10/29/2004,43.08,-88.25,3;77,Dane,55025
53704,WI,1.92,12484.8,01/17/2012,42.98,-89.53,3;93,Dane,55025
53562,WI,1.92,15260,09/25/2008,43.07,-89.38,4;04,Dane,55025
54411,WI,1.925,15687,08/27/2007,43.10,-89.50,3;96,Marathon,55073
54403,WI,1.95,28063.18,5/12/2010,45.03,-90.07,3;84,Marathon,55073
53207,WI,1.96,13385.0,01/17/2012,44.96,-89.64,3;84,Milwaukee,55079
54170,WI,1.98,0.0,12/11/2003,43.06,-87.96,3;78,Outagamie,55087
53941,WI,2.0,8297.92,01/17/2012,44.44,-88.57,3;86,Sauk,55111
54174,WI,2.0,10936.0,10/29/2012,43.58,-90.13,3;87,Oconto,55083
54216,WI,2,26690.54,01/18/2006,45.00,-88.37,4;04,Kewaunee,55061
53004,WI,2,17979.31,10/17/2003,44.46,-87.51,3;93,Ozaukee,55089
54104,WI,2,13589.5,5/1/2004,43.50,-87.85,3;83,Marinette,55075
53545,WI,2,18850,03/26/2009,45.43,-88.09,4;12,Rock,55105
53126,WI,2,18446.79,04/15/2005,42.68,-89.01,3;79,Racine,55101
53719,WI,2,17735,07/26/2007,42.79,-87.99,3;75,Dane,55025
54909,WI,2.004,20081.11,12/27/2005,43.07,-89.38,3;98,Portage,55097
54481,WI,2.016,19827.04,02/26/2009,44.26,-89.40,3;82,Portage,55097
53233,WI,2.04,39168.94,06/26/2007,44.54,-89.56,3;80,Milwaukee,55079
53213,WI,2.04,17755,05/23/2007,43.06,-87.96,3;89,Milwaukee,55079
53575,WI,2.05,20692,02/26/2009,43.06,-87.96,3;85,Dane,55025
