Zipcode,State,Size (kW DC),Cost,Date Installed
46947,IN,6.3,31500.0,10/2/2009
46032,IN,6.35,,3/11/2010
46550,IN,6.4,,12/6/2010
46151,IN,6.44,,11/11/2010
46526,IN,6.44,,09/20/2010
46151,IN,6.44,32200.0,11/5/2010
46528,IN,6.44,40000.0,05/16/2012
47421,IN,6.62,,06/21/2013
47403,IN,6.72,,06/21/2012
47601,IN,6.72,21900,04/20/2015
47403,IN,6.72,,01/23/2012
47401,IN,6.75,,06/21/2013
47119,IN,6.76,,06/17/2013
47634,IN,6.84,,06/21/2012
46528,IN,6.88,,11/28/2011
46628,IN,6.9,,7/6/2010
47401,IN,7.0,,06/21/2012
47708,IN,7,59780,04/21/2009
47708,IN,7.0,59780.0,5/1/2009
47006,IN,7.02,,6/6/2014
46526,IN,7.05,41850.0,12/19/2011
47708,IN,7.06,,06/21/2013
47712,IN,7.2,24900,04/20/2015
46703,IN,7.2,,12/17/2009
46256,IN,7.28,,05/13/2014
47712,IN,7.28,25500.0,12/12/2014
47401,IN,7.35,,06/21/2011
47401,IN,7.35,,7/7/1909
47974,IN,7.4,,05/26/2011
47408,IN,7.5,,11/25/2013
47630,IN,7.5,17500.0,07/21/2014
46214,IN,7.54,,04/25/2013
46526,IN,7.56,37800.0,7/11/2012
46526,IN,7.56,12500.0,7/11/2012
46723,IN,7.56,37800.0,07/17/2010
46383,IN,7.7,35000.0,1/7/2013
46554,IN,7.75,35955.79,5/9/2012
47401,IN,7.8,,8/2/2012
46797,IN,7.8,14048.35,9/9/2009
47348,IN,7.8,38000.0,12/12/2012
47401,IN,7.82,,06/21/2012
46975,IN,7.84,,6/2/2013
47401,IN,8.0,,06/21/2013
46996,IN,8.0,,08/21/2012
47201,IN,8.0,10500.0,12/15/2013
46526,IN,8.0,11800.0,07/29/2011
47601,IN,8.0,,11/26/2012
47579,IN,8.06,23000,04/21/2015
46723,IN,8.1,,06/15/2010
47711,IN,8.16,,06/21/2013
47711,IN,8.16,32640.0,8/2/2013
46637,IN,8.2,,8/4/2008
46545,IN,8.2,41000.0,07/17/2008
46962,IN,8.28,,04/30/2010
47933,IN,8.28,51634.43,4/7/2011
47401,IN,8.32,,06/21/2012
46761,IN,8.4,49845.69,09/26/2011
47638,IN,8.46,,04/28/2012
47638,IN,8.46,,06/21/2012
47460,IN,8.5,,10/5/2013
47638,IN,8.58,,06/21/2012
47638,IN,8.58,36650.0,11/12/2012
47630,IN,8.58,,06/21/2013
47630,IN,8.67,34000.0,7/7/2014
47611,IN,8.9,76200,01/16/2009
47601,IN,8.925,34800.0,11/26/2012
47725,IN,8.925,35250.0,08/28/2014
47725,IN,8.96,29000.0,12/17/2014
47136,IN,9.0,,06/21/2012
47601,IN,9.0,,06/21/2012
47611,IN,9.0,,12/31/2009
47460,IN,9.0,,06/21/2013
46229,IN,9.0,,09/15/2014
47611,IN,9.0,71250.0,01/23/2009
46526,IN,9.03,,12/4/2012
47725,IN,9.18,36800.0,01/25/2013
47635,IN,9.18,35800.0,8/1/2014
47714,IN,9.18,34995.0,07/22/2014
47725,IN,9.36,,06/21/2013
47356,IN,9.36,,12/18/2013
47114,IN,9.4,,6/3/2010
46750,IN,9.6,,11/11/2011
47537,IN,9.75,,05/30/2013
47537,IN,9.75,,06/21/2013
47401,IN,9.8,,06/21/2013
47401,IN,9.8,,11/17/2013
46614,IN,9.9,,7/12/2011
47468,IN,10.0,,12/27/2013
47905,IN,10.0,,12/16/2010
46556,IN,10.0,,07/20/2011
46530,IN,10.0,50000.0,9/11/2010
46565,IN,10.0,54322.32,06/25/2012
46528,IN,10.0,16701.1,9/2/2011
46803,IN,10.0,112476.0,09/17/2012
46208,IN,10.0,,06/21/2013
47631,IN,10.0,81250.0,06/24/2010
46208,IN,10.0,28900.0,04/28/2013
47905,IN,10.12,55000.0,12/20/2010
47406,IN,10.34,,06/21/2011
47408,IN,10.34,,06/21/2012
46528,IN,10.34,57975.0,6/7/2012
46540,IN,10.34,75000.0,1/1/2012
46526,IN,10.34,62775.0,12/16/2011
46939,IN,10.34,60000.0,1/1/2012
46970,IN,10.5,,11/6/2013
46703,IN,10.63,56552,06/25/2009
46901,IN,10.75,85200,4/11/2009
47713,IN,10.8,,06/21/2013
47713,IN,10.8,83250.0,5/1/2010
47713,IN,10.8,85750,5/4/2010
47630,IN,11.0,,06/21/2013
47630,IN,11.0,80000.0,12/7/2007
47710,IN,11.22,,06/21/2013
47710,IN,11.22,39183.0,7/8/2013
46701,IN,11.25,83731.26,11/7/2011
46975,IN,11.28,,12/29/2011
47630,IN,11.34,32000,04/20/2015
47143,IN,11.4,,03/31/2011
46526,IN,11.52,57000.0,1/1/2012
46975,IN,11.76,,4/2/2013
46901,IN,12.0,,02/28/2014
47532,IN,12.0,,06/21/2013
47635,IN,12.32,37500,04/20/2015
46516,IN,12.88,64400.0,11/18/2010
46550,IN,12.9,,01/26/2011
47802,IN,13.4,104000.0,9/1/2009
47720,IN,13.44,45500.0,10/23/2014
47331,IN,13.68,195000,05/15/2007
47725,IN,14.0,,06/21/2012
47803,IN,14.1,85160.0,05/31/2010
47725,IN,14.3,52350.0,9/7/2012
47725,IN,14.4,,06/21/2013
47523,IN,14.56,49850.0,07/22/2012
47601,IN,15.0,45000.0,10/23/2014
46975,IN,15.04,,08/28/2012
46041,IN,15.04,,4/6/2013
47201,IN,15.44,69480,09/15/2011
46356,IN,15.68,,09/17/2013
46975,IN,15.68,,11/1/2013
46975,IN,15.68,,1/1/2013
46975,IN,15.68,,6/1/2013
47950,IN,15.68,,08/29/2013
46975,IN,15.68,,2/1/2013
46033,IN,15.68,131000.0,9/2/2010
47630,IN,15.696,,05/17/2012
46947,IN,16.0,,5/5/2014
46962,IN,16.0,,5/1/2014
46056,IN,16.64,,12/15/2011
47523,IN,16.8,,06/21/2012
47630,IN,17.0,,06/21/2012
46725,IN,17.0,,5/4/2012
47630,IN,17.085,69190.0,10/25/2012
46975,IN,17.64,,4/9/2013
47408,IN,18.36,,06/21/2013
46539,IN,18.92,,11/16/2010
46526,IN,19.5,124868.52,06/27/2011
46516,IN,19.74,120000.0,2/10/2012
46201,IN,20.0,,06/21/2013
47715,IN,20.2,,03/30/2011
47715,IN,20.2,,03/30/2011
46733,IN,20.928,,11/20/2013
46975,IN,22.56,,08/15/2012
47401,IN,23.32,,06/21/2013
47403,IN,23.32,60000.0,04/14/2013
47408,IN,24.0,,06/21/2013
47408,IN,24.0,78240.0,04/15/2013
46383,IN,26.77,,02/13/2012
46383,IN,26.775,,03/29/2012
47401,IN,27.56,,06/21/2013
47401,IN,27.56,69000.0,4/10/2013
47401,IN,28.0,,06/21/2013
46383,IN,29.0,65600.0,03/22/2012
46975,IN,29.4,,4/2/2013
47630,IN,30.06,,06/21/2013
47630,IN,30.6,87000.0,04/14/2013
46701,IN,38.61,,12/18/2014
46202,IN,43.0,,06/21/2013
46202,IN,45.92,245000.0,04/15/2013
46202,IN,48.0,,01/30/2013
46556,IN,50.0,500000.0,3/8/2010
46032,IN,50.0,,2/1/2012
47660,IN,56.5,,06/26/2014
46226,IN,57.0,,6/12/2012
46227,IN,59.52,,09/16/2011
46368,IN,61.0,,11/15/2013
47404,IN,63.5,,06/21/2012
47404,IN,63.75,,03/31/2012
46405,IN,72.52,,12/21/2011
46601,IN,93.0,,8/2/2010
46637,IN,93.0,,10/14/2010
47955,IN,98.4,,10/10/2014
46241,IN,99.96,,2/7/2011
46241,IN,100.0,,06/21/2011
46221,IN,108.0,,05/15/2013
46225,IN,109.2,,10/15/2013
46218,IN,109.2,,10/21/2013
46205,IN,109.98,,9/7/2012
46041,IN,144.0,,12/1/2013
46131,IN,186.4,,6/1/2011
46237,IN,200.0,,02/26/2014
46553,IN,375.0,,01/14/2013
46241,IN,524.16,,05/21/2013
