Zipcode,State,Size (kW DC),Cost,Date Installed
85395,AZ,1.41,11300.0,08/23/2011
85396,AZ,1.41,11300.0,9/8/2011
85338,AZ,1.41,11300.0,09/26/2011
85396,AZ,1.41,11300.0,09/26/2011
85395,AZ,1.41,10600.0,09/30/2011
86351,AZ,1.41,7050.0,10/19/2011
85338,AZ,1.41,11300.0,11/2/2011
85338,AZ,1.41,7900.0,11/23/2011
85335,AZ,1.41,7900.0,11/23/2011
85395,AZ,1.41,7900.0,12/12/2011
85338,AZ,1.41,7900.0,1/4/2012
85233,AZ,1.41,6520.0,4/9/2012
85298,AZ,1.41,11300.0,03/30/2012
86001,AZ,1.43,13229.69,09/16/2008
85747,AZ,1.44,8610.0,9/7/2012
85747,AZ,1.44,8610.0,9/7/2012
85747,AZ,1.44,8600.0,10/4/2012
85747,AZ,1.44,5720.0,10/4/2012
85747,AZ,1.44,8600.0,10/15/2012
85747,AZ,1.44,8610.0,06/25/2012
85750,AZ,1.44,6700.0,01/20/2012
85747,AZ,1.44,8610.0,12/11/2012
85715,AZ,1.44,9692.0,6/4/2012
85719,AZ,1.44,9960.0,08/21/2012
85747,AZ,1.44,8610.0,04/26/2012
85747,AZ,1.44,8610.0,04/26/2012
85747,AZ,1.44,8600.0,12/27/2012
85747,AZ,1.44,8610.0,12/27/2012
85747,AZ,1.44,8610.0,09/24/2012
85747,AZ,1.44,8610.0,4/12/2012
86001,AZ,1.44,16950.0,10/27/2011
85543,AZ,1.44,7734.0,01/25/2008
85375,AZ,1.44,0.0,5/1/2013
85331,AZ,1.44,4350.0,5/10/2013
85718,AZ,1.44,11100.0,08/31/2009
85742,AZ,1.44,12970.0,10/9/2013
85745,AZ,1.44,10058.0,05/20/2011
85747,AZ,1.44,8610.0,05/23/2012
85747,AZ,1.44,8610.0,5/10/2012
85747,AZ,1.44,8610.0,04/13/2012
85747,AZ,1.44,8610.0,04/13/2012
85747,AZ,1.44,8610.0,05/23/2012
85747,AZ,1.44,8610.0,7/5/2012
85747,AZ,1.44,8610.0,05/23/2012
85716,AZ,1.44,15686.27,07/26/2010
85747,AZ,1.44,8610.0,03/21/2012
85747,AZ,1.44,8610.0,10/4/2012
85646,AZ,1.44,8568.0,5/8/2012
85283,AZ,1.44,17927.32,09/17/2009
85259,AZ,1.44,9000.0,7/12/2010
86351,AZ,1.44,17121.74,12/21/2011
85253,AZ,1.44,9740.0,01/25/2012
85325,AZ,1.44,3000.0,5/4/2012
85395,AZ,1.44,7403.42,07/16/2012
85301,AZ,1.44,8297.0,11/16/2012
85351,AZ,1.44,5350.0,12/21/2012
85295,AZ,1.44,9589.0,06/26/2012
85718,AZ,1.456,8150.0,08/22/2011
85719,AZ,1.47,7753.95,04/26/2012
85653,AZ,1.47,14000.0,10/15/2012
85719,AZ,1.47,9213.75,05/17/2012
85747,AZ,1.47,5294.0,10/15/2012
85747,AZ,1.47,5735.0,09/24/2012
85747,AZ,1.47,5294.0,11/14/2012
85747,AZ,1.47,5924.0,10/15/2012
85383,AZ,1.47,7900.0,2/7/2012
85338,AZ,1.47,0.0,11/20/2013
85268,AZ,1.47,7875.0,07/30/2013
85747,AZ,1.47,7294.0,04/18/2013
85747,AZ,1.47,8610.0,1/9/2013
85747,AZ,1.47,5550.0,5/5/2013
85747,AZ,1.47,5820.0,03/14/2013
85747,AZ,1.47,5550.0,6/7/2013
85747,AZ,1.47,8610.0,1/9/2013
85737,AZ,1.47,9555.0,06/16/2011
85747,AZ,1.47,5294.0,1/2/2013
85747,AZ,1.47,5294.0,1/2/2013
85747,AZ,1.47,8610.0,01/30/2013
85747,AZ,1.47,8610.0,01/30/2013
85747,AZ,1.47,5550.0,03/14/2013
85747,AZ,1.47,8610.0,01/30/2013
85747,AZ,1.47,5294.0,12/18/2012
85747,AZ,1.47,5550.0,04/18/2013
85747,AZ,1.47,5550.0,04/18/2013
85747,AZ,1.47,8610.0,2/1/2013
85747,AZ,1.47,8600.0,03/14/2013
85747,AZ,1.47,8610.0,12/11/2012
85747,AZ,1.47,5943.0,04/18/2013
85747,AZ,1.47,8610.0,1/9/2013
85747,AZ,1.47,5294.0,12/18/2012
85747,AZ,1.47,5735.0,09/27/2012
85747,AZ,1.47,8600.0,2/1/2013
85747,AZ,1.47,5294.0,1/2/2013
85747,AZ,1.47,8600.0,3/12/2013
85747,AZ,1.47,5294.0,1/2/2013
85747,AZ,1.47,8610.0,12/18/2012
85747,AZ,1.47,5943.0,7/5/2013
85747,AZ,1.47,5294.0,10/26/2012
85747,AZ,1.47,8600.0,8/7/2013
85747,AZ,1.47,8600.0,01/16/2013
85747,AZ,1.47,5735.0,10/15/2012
85747,AZ,1.47,5820.0,03/14/2013
85747,AZ,1.47,5550.0,5/6/2013
85719,AZ,1.47,7753.95,05/17/2012
85747,AZ,1.47,8610.0,01/30/2013
85747,AZ,1.47,5550.0,5/6/2013
85747,AZ,1.47,5294.0,5/6/2013
85747,AZ,1.47,5550.0,04/18/2013
85747,AZ,1.47,5550.0,6/12/2013
85747,AZ,1.47,8610.0,01/16/2013
85747,AZ,1.47,8610.0,2/1/2013
85747,AZ,1.47,5550.0,5/6/2013
85747,AZ,1.47,5550.0,03/14/2013
85747,AZ,1.47,8610.0,01/16/2013
85747,AZ,1.47,5550.0,5/2/2013
85747,AZ,1.47,5943.0,7/5/2013
85747,AZ,1.47,5550.0,5/5/2013
85338,AZ,1.47,7900.0,2/7/2012
85295,AZ,1.47,8202.0,08/27/2012
85295,AZ,1.47,8752.0,9/10/2012
85295,AZ,1.47,7202.0,09/19/2012
85295,AZ,1.47,11300.0,02/27/2012
85193,AZ,1.476,11594.96,07/18/2005
85297,AZ,1.476,11491.0,11/22/2005
85234,AZ,1.48,12371,11/22/2005
85602,AZ,1.5,17400.0,05/23/2012
86046,AZ,1.5,14800.0,6/1/2008
86315,AZ,1.5,6850.0,09/13/2013
85042,AZ,1.5,10925.0,8/4/2008
85748,AZ,1.5,12164.0,04/29/2008
85304,AZ,1.5,10183,05/25/2007
85739,AZ,1.5,4900.0,11/5/2013
85053,AZ,1.5,14322.74,7/11/2006
85042,AZ,1.5,10925,8/11/2008
85281,AZ,1.5,0.0,01/24/2005
85614,AZ,1.505,8200.0,04/19/2012
85719,AZ,1.505,10668.0,11/19/2010
85704,AZ,1.505,7978.0,3/6/2013
85614,AZ,1.505,10876.0,7/6/2010
86442,AZ,1.52,7600.0,2/11/2011
85711,AZ,1.52,9902.0,3/11/2008
85747,AZ,1.52,11700.0,6/6/2008
85748,AZ,1.52,8794.0,03/19/2008
85748,AZ,1.52,8794.0,03/19/2008
85747,AZ,1.52,7259.97,10/4/2013
85739,AZ,1.52,12091.0,10/1/2007
85739,AZ,1.52,10160.0,12/2/2007
85226,AZ,1.52,20356.45,9/12/2011
85603,AZ,1.52,13230.0,2/2/2009
86045,AZ,1.53,15058.63,5/9/2007
86001,AZ,1.53,15050.0,05/30/2007
85745,AZ,1.53,7833.0,08/26/2011
86001,AZ,1.54,10000.0,05/24/2010
85042,AZ,1.56,11000.0,07/22/2013
85042,AZ,1.56,11000.0,07/22/2013
85042,AZ,1.56,11000.0,07/22/2013
85042,AZ,1.56,11000.0,07/22/2013
85042,AZ,1.56,11000.0,07/22/2013
85042,AZ,1.56,11000.0,06/18/2013
