Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
5452,VT,1,11409,11/19/2009,44.48,-73.22,3;86,Chittenden,50007
5735,VT,1.02,,12/27/2012,44.81,-73.08,3;73,Rutland,50021
5346,VT,1.02,6587.5,10/22/2004,44.49,-73.11,3;65,Windham,50025
5602,VT,1.035,10084,1/11/2007,43.62,-73.18,3;79,Washington,55131
5445,VT,1.05,5900.0,9/9/2010,42.97,-72.52,3;79,Chittenden,50007
5655,VT,1.05,7145.0,11/18/2011,44.26,-72.57,3;80,Lamoille,50015
5777,VT,1.05,11747.0,05/26/2011,44.30,-73.25,3;69,Rutland,50021
5770,VT,1.05,5996.0,03/17/2011,44.59,-72.61,3;76,Addison,50001
5445,VT,1.075,8425.0,01/22/2010,43.59,-73.04,3;79,Chittenden,50007
5491,VT,1.08,14861.95,8/6/2004,43.90,-73.32,3;80,Addison,50001
5056,VT,1.1,19318,06/23/2009,44.30,-73.25,3;76,Windsor,50027
5301,VT,1.1,13131,09/21/2006,44.16,-73.25,3;75,Windham,50025
5075,VT,1.14,11171.02,07/24/2008,43.53,-72.73,3;66,Orange,51137
5089,VT,1.14,17677.05,12/19/2008,42.86,-72.57,3;67,Windsor,50027
5037,VT,1.15,5824.22,10/18/2010,43.82,-72.27,3;69,Windsor,50027
5701,VT,1.15,10044.8,5/3/2011,43.48,-72.42,3;71,Rutland,50021
5602,VT,1.17,4705.36,10/8/2004,43.45,-72.49,3;79,Washington,55131
5077,VT,1.19,11396,05/16/2008,43.60,-72.97,3;70,Orange,51137
5301,VT,1.19,9702,10/12/2007,44.26,-72.57,3;75,Windham,50025
5201,VT,1.2,18150.0,08/23/2004,43.88,-72.50,3;65,Bennington,50003
5766,VT,1.2,11470,09/28/2006,42.86,-72.57,3;91,Addison,50001
5401,VT,1.2,10170.2,02/13/2004,42.87,-73.18,3;77,Chittenden,50007
5151,VT,1.2,17820.0,06/28/2010,44.00,-73.15,3;66,Windsor,50027
5070,VT,1.2,9976.7,1/8/2010,44.48,-73.22,3;77,Orange,51137
5676,VT,1.248,12447,1/11/2007,43.36,-72.51,3;84,Washington,55131
5445,VT,1.26,14400,10/12/2007,43.83,-72.37,3;79,Chittenden,50007
5652,VT,1.26,10017.22,01/25/2008,44.33,-72.75,3;77,Lamoille,50015
5664,VT,1.26,9622.0,10/12/2011,44.30,-73.25,3;91,Washington,55131
5142,VT,1.265,10834,2/8/2007,44.70,-72.55,3;79,Windsor,50027
5443,VT,1.3,10525,5/7/2009,44.16,-72.67,3;91,Addison,50001
5735,VT,1.32,11000,7/12/2007,43.38,-72.62,3;73,Rutland,50021
5494,VT,1.32,17090,06/26/2008,44.13,-73.08,3;89,Chittenden,50007
5363,VT,1.32,15523.9,4/8/2005,43.62,-73.18,3;77,Windham,50025
5753,VT,1.32,17321,3/1/2007,44.62,-73.02,3;86,Addison,50001
5443,VT,1.344,13054.33,09/19/2010,42.86,-72.87,3;91,Addison,50001
5701,VT,1.36,12420.21,07/24/2008,44.00,-73.15,3;71,Rutland,50021
5760,VT,1.36,14843,07/17/2008,44.13,-73.08,3;76,Addison,50001
5001,VT,1.374,15027.81,08/17/2010,43.60,-72.97,3;69,Windsor,50027
5655,VT,1.38,4977.75,01/20/2010,43.80,-73.30,3;80,Lamoille,50015
5822,VT,1.38,10230.0,05/19/2011,43.65,-72.32,3;67,Orleans,50019
5403,VT,1.4,13842,07/25/2007,44.59,-72.61,3;79,Chittenden,50007
5733,VT,1.4,16614,8/4/2009,44.74,-72.17,3;81,Rutland,50021
5470,VT,1.4,5000.0,10/8/2012,44.44,-73.21,0,0,0
5405,VT,1.4,9800.0,06/25/2012,43.80,-73.08,3;88,Chittenden,50007
5358,VT,1.41,9522.0,1/11/2012,44.90,-72.63,3;81,Windham,50025
5767,VT,1.41,,12/15/2011,0,0,3;80,Windsor,50027
5474,VT,1.41,11276.0,8/4/2011,44.48,-73.22,3;79,Grand Isle,50013
5701,VT,1.435,12857.75,12/9/2010,42.76,-72.72,3;71,Rutland,50021
5401,VT,1.44,12428,7/2/2004,43.88,-72.82,3;77,Chittenden,50007
5462,VT,1.44,15200,09/13/2007,44.82,-73.28,3;87,Chittenden,50007
5359,VT,1.44,13163,2/8/2008,43.60,-72.97,3;78,Windham,50025
5773,VT,1.44,16265.5,01/17/2008,44.48,-73.22,3;66,Rutland,50021
5143,VT,1.44,9414.75,02/16/2007,44.33,-72.98,3;75,Windsor,50027
5827,VT,1.44,11646.42,09/17/2004,43.13,-72.71,3;72,Orleans,50019
5871,VT,1.44,13493,3/6/2008,43.48,-72.97,3;66,Caledonia,50005
5833,VT,1.44,12649.66,7/3/2008,43.26,-72.59,3;56,Orleans,50019
5753,VT,1.44,12059,05/13/2005,44.65,-72.41,3;86,Addison,50001
5764,VT,1.44,13291,9/5/2007,44.64,-71.98,3;69,Rutland,50021
5065,VT,1.44,21637,2/8/2008,44.83,-72.00,3;73,Windsor,50027
5065,VT,1.44,21637,02/20/2008,44.00,-73.15,3;73,Windsor,50027
5301,VT,1.44,8580.0,9/12/2011,43.51,-73.23,3;75,Windham,50025
5760,VT,1.47,6982.5,7/10/2012,43.78,-72.45,3;76,Addison,50001
5346,VT,1.47,7306.0,10/11/2012,43.78,-72.45,3;65,Windham,50025
5152,VT,1.48,19980.72,08/13/2004,42.86,-72.57,3;74,Bennington,50003
5820,VT,1.48,10956.12,08/27/2011,43.80,-73.30,3;70,Orleans,50019
5250,VT,1.5,13926.5,2/12/2009,42.97,-72.52,3;67,Bennington,50003
5651,VT,1.5,12624.5,05/28/2004,43.23,-72.89,3;68,Washington,55131
5068,VT,1.5,15960,3/9/2009,44.73,-72.38,3;75,Windsor,50027
5819,VT,1.5,17811.5,3/9/2009,43.06,-73.15,3;63,Caledonia,50005
5143,VT,1.5,15000,03/28/2009,44.28,-72.49,3;75,Windsor,50027
5048,VT,1.5,11756,02/27/2006,43.82,-72.52,3;66,Windsor,50027
5733,VT,1.5,12069,9/11/2009,44.41,-71.97,3;81,Rutland,50021
5492,VT,1.5,11300.0,11/25/2011,43.26,-72.59,3;83,Lamoille,50015
5701,VT,1.52,11392.5,08/21/2008,43.55,-72.40,3;71,Rutland,50021
5602,VT,1.52,14941.54,10/5/2007,43.80,-73.08,3;79,Washington,55131
5156,VT,1.52,22500.55,09/26/2008,44.71,-72.75,3;64,Windsor,50027
5070,VT,1.52,22916.54,12/19/2008,43.60,-72.97,3;77,Orange,51137
5602,VT,1.52,16229.47,05/31/2007,44.26,-72.57,3;79,Washington,55131
5739,VT,1.52,0.0,11/16/2010,43.28,-72.47,3;69,Rutland,50021
5733,VT,1.53,7300.0,11/19/2012,43.83,-72.37,3;81,Rutland,50021
5070,VT,1.54,9132.4,05/28/2004,44.26,-72.57,3;77,Orange,51137
5346,VT,1.56,9240.0,05/26/2011,43.35,-73.00,3;65,Windham,50025
