Zipcode,State,Size (kW DC),Cost,Date Installed
43351,OH,22.23,75000.0,04/26/2013
44260,OH,23.4,78230.0,12/12/2014
44681,OH,24.3,70270.0,11/13/2014
45202,OH,24.4,220203.0,06/18/2010
44615,OH,26.25,108950.0,10/12/2012
44115,OH,28.5,198645,1/1/2009
43220,OH,32.4,269886,08/31/2009
43812,OH,36.0,157860.0,04/24/2013
43812,OH,40.0,163990.0,12/17/2012
45324,OH,41.04,328790,11/1/2009
45631,OH,42.72,285000,11/15/2009
45238,OH,43.5,281558.0,1/11/2011
45502,OH,47.84,,09/13/2011
44234,OH,50.0,350906.0,12/20/2010
44627,OH,50.0,219000.0,06/15/2012
45385,OH,51.2,280000.0,8/3/2011
43845,OH,51.3,152370.4,05/28/2013
45246,OH,51.66,306000.0,4/1/1997
44654,OH,54.15,159416.6,06/19/2013
44681,OH,54.99,193775.0,01/16/2013
44681,OH,54.99,193775.0,01/16/2013
44681,OH,54.99,191300.0,1/8/2013
44681,OH,54.99,193775.0,12/19/2012
43804,OH,54.99,193775.0,12/1/2012
45309,OH,55.5,90000,01/30/2004
44681,OH,57.0,160083.0,06/24/2013
43235,OH,57.0,300000.0,09/28/2011
44118,OH,57.4,498350,04/30/2007
44118,OH,57.4,569050,05/31/2008
44094,OH,63.36,389642.0,02/23/2011
44654,OH,74.82,159000.0,12/9/2013
43449,OH,81.0,,6/2/2010
44654,OH,99.0,244700.0,12/30/2014
44681,OH,100.0,344000.0,03/13/2013
43620,OH,100,552000,12/31/2008
43620,OH,100,552000,1/1/2009
44301,OH,131.72,460992,12/15/2008
44074,OH,145,1000000,04/16/2006
45005,OH,424.645,,10/2/2012
45241,OH,586.56,,10/4/2012
45030,OH,979.2,,01/18/2012
45069,OH,1026.0,,01/24/2012
45458,OH,1134.0,,3/2/2010
45458,OH,1134.0,5000000.0,03/23/2010
43506,OH,2000.0,,02/15/2012
43545,OH,9700.0,,12/1/2011
43351,OH,12000.0,40000000.0,08/19/2010
