Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=IL
61103,IL,3.6,11835.0,08/25/2011,
60643,IL,3.6,50000.0,12/31/2005,
61802,IL,3.6,27755.0,8-2-2007,
60622,IL,3.6,66879.0,06/30/2000,
60540,IL,3.6,22150.0,05/24/2006,
60115,IL,3.6,33003.0,10/18/2006,
60304,IL,3.6,29515.0,8-9-2010,
60803,IL,3.674,26910.0,08/30/2006,
60537,IL,3.68,24150.0,8-9-2010,
60487,IL,3.7,18750.0,11/28/2012,
60202,IL,3.744,38900.0,8-9-2010,
61028,IL,3.76,23007.0,11-7-2012,
60551,IL,3.76,21790.0,08/31/2011,
60643,IL,3.78,12435.96,6-10-2012,
61318,IL,3.78,34000.0,7-9-2008,
61353,IL,3.78,34000.0,12/31/2008,
61238,IL,3.78,34000.0,7-9-2008,
62703,IL,3.78,31118.0,08/17/2010,
61068,IL,3.8,34000.0,07/15/2009,
62294,IL,3.8,18000.0,5-4-2011,
62294,IL,3.84,17969.0,04/20/2011,
60123,IL,3.84,38592.0,7-9-2008,
61054,IL,3.85,21505.0,01/19/2010,
61047,IL,3.85,21505.0,01/19/2010,
60614,IL,3.9,34900.0,02/28/2012,
60060,IL,3.9,34900.0,3-1-2012,
61548,IL,3.9,21815.0,04/30/2012,
60646,IL,3.9,30064.0,3-2-2007,
62959,IL,3.96,39768.0,06/30/2004,
62958,IL,3.96,37516.0,11/18/2008,
60611,IL,3.96,30906.0,3-2-2007,
60098,IL,4.0,36406.0,7-12-2012,
61704,IL,4.0,23000.0,11/17/2012,
60201,IL,4.0,45000.0,04/15/2009,
61802,IL,4.0,34700.0,7-6-2009,
61049,IL,4.0,40000.0,11/30/2003,
60712,IL,4.0,23000.0,07/16/2009,
60654,IL,4.0,28250.0,08/17/2010,
60712,IL,4.0,34000.0,04/20/2010,
60123,IL,4.0,48000.0,8-4-1997,
61087,IL,4.0,14637.61,03/26/2010,
60563,IL,4.032,30050.0,11/24/2011,
61615,IL,4.032,37572.0,2-4-2010,
61006,IL,4.05,25375.0,8-10-2010,
62294,IL,4.05,20627.0,4-9-2010,
62946,IL,4.05,20066.81,03/19/2010,
60010,IL,4.08,26386.0,6-4-2012,
60447,IL,4.08,17286.0,4-6-2007,
60618,IL,4.08,31489.0,8-10-2007,
60076,IL,4.08,27914.0,12/30/2011,
61614,IL,4.08,45738.4,02/26/2010,
60185,IL,4.1,23060.0,06/20/2012,
61833,IL,4.1,45009.37,8-5-2010,
61028,IL,4.1,29880.0,05/13/2008,
60133,IL,4.1,20500.0,01/24/2011,
61832,IL,4.1,45009.37,8-5-2010,
60302,IL,4.1,38780.0,2-4-2010,
60169,IL,4.14,28900.0,3-2-2012,
62326,IL,4.14,32131.0,03/17/2011,
62906,IL,4.16,18286.84,11-8-2012,
60098,IL,4.16,48660.0,6-4-2008,
60010,IL,4.18,35400.0,03/13/2008,
61062,IL,4.2,30190.0,7-6-2009,
60126,IL,4.2,26540.0,8-6-2009,
60450,IL,4.2,29720.0,4-10-2006,
61010,IL,4.2,29700.0,7-6-2009,
61488,IL,4.2,31103.0,04/14/2008,
60450,IL,4.2,23815.0,8-5-2009,
61111,IL,4.2,31750.0,12/29/2011,
62286,IL,4.2,32773.0,04/14/2008,
61047,IL,4.2,23815.0,01/14/2010,
62854,IL,4.32,29776.0,11/15/2012,
62966,IL,4.32,38953.0,12-12-2008,
62298,IL,4.32,26729.0,12/22/2011,
62298,IL,4.32,,12/30/2011,
62830,IL,4.34,33959.0,09/15/2008,
60955,IL,4.4,27374.38,01/13/2012,
60050,IL,4.4,30366.0,7-6-2009,
60073,IL,4.4,27284.0,08/23/2010,
60004,IL,4.41,29370.0,01/25/2012,
60565,IL,4.41,29200.0,9-10-2011,
62025,IL,4.5,26600.0,01/14/2012,
61822,IL,4.5,40000.0,06/21/2007,
62526,IL,4.5,25000.0,06/15/2012,
60448,IL,4.56,29423.0,9-8-2006,
60047,IL,4.58,49880.0,06/24/2008,
60420,IL,4.59,26150.0,08/17/2010,
60614,IL,4.6,9495.0,1-12-2012,
60084,IL,4.6,28800.0,12/20/2011,
60449,IL,4.6,23250.0,07/26/2011,
61832,IL,4.6,30000.0,10-1-2010,
61571,IL,4.7,22984.0,12-10-2012,
60467,IL,4.7,48175.0,05/13/2012,
61114,IL,4.7,30000.0,12/21/2012,
60506,IL,4.7,21800.0,3-5-2012,
60440,IL,4.8,26500.0,12/21/2012,
61821,IL,4.8,43992.0,8-4-2008,
62896,IL,4.8,9726.0,5-11-2006,
60030,IL,4.8,40287.0,3-6-2009,
61614,IL,4.8,43483.0,03/13/2007,
60653,IL,4.8,42230.0,8-10-2007,
60137,IL,4.8,81456.0,11/30/2003,
60653,IL,4.8,42000.0,8-1-2004,
60540,IL,4.84,81455.0,11/30/2003,
60435,IL,4.84,81455.0,11/30/2003,
60567,IL,4.84,81455.0,11/30/2003,
61802,IL,4.89,34700.0,9-11-2009,
61853,IL,4.896,35700.0,7-6-2009,
60660,IL,4.9,36000.0,12/15/2012,
60622,IL,4.9,34300.0,12-12-2008,
60062,IL,4.9,37385.0,12-10-2011,
60632,IL,4.9,36000.0,12/15/2012,
61559,IL,4.9,40531.0,06/24/2009,
61523,IL,4.928,46671.0,08/16/2010,
60515,IL,4.94,31000.0,12/31/2012,
61725,IL,4.94,29315.89,11/28/2007,
62234,IL,4.95,14935.97,06/30/2011,
61075,IL,5.0,16116.0,8-9-2012,
62902,IL,5.0,26767.75,11-7-2012,
60015,IL,5.0,44000.0,5-6-2010,
60610,IL,5.0,36746.0,04/22/2009,
60098,IL,5.0,46220.0,3-2-2009,
61925,IL,5.0,34127.0,1-6-2009,
60803,IL,5.0,31980.0,08/30/2000,
60201,IL,5.0,42330.0,8-6-2010,
61544,IL,5.0,46090.0,8-5-2010,
61925,IL,5.0,27566.82,03/19/2010,
60098,IL,5,47000,01/19/2009,
60516,IL,5.0,36000.0,8-5-2010,
60035,IL,5.0,44000.0,5-6-2010,
61085,IL,5.004,32810.0,7-6-2009,
60047,IL,5.04,54000.0,12/16/2012,
60047,IL,5.04,54000.0,02/17/2012,
60047,IL,5.04,31839.0,01/13/2012,
60015,IL,5.04,45000.0,04/15/2008,
61010,IL,5.04,36570.0,02/21/2008,
61010,IL,5.04,48687.0,09/29/2006,
61523,IL,5.04,30230.0,03/24/2010,
60302,IL,5.06,18204.0,2-10-2012,
60541,IL,5.06,29433.38,08/17/2011,
60647,IL,5.06,25400.0,09/26/2011,
62863,IL,5.06,48800.0,02/18/2010,
62811,IL,5.06,48800.0,02/18/2010,
60115,IL,5.088,37101.0,09/21/2010,
60098,IL,5.1,19623.43,02/20/2012,
60622,IL,5.1,36624.0,09/15/2008,
61548,IL,5.1,46000.0,12/29/2009,
60654,IL,5.12,32973.13,03/25/2010,
60176,IL,5.12,32973.13,03/25/2010,
60002,IL,5.2,58826.0,06/30/2004,
60060,IL,5.2,44230.0,02/26/2010,
62863,IL,5.22,34900.0,12/16/2011,
60115,IL,5.25,32529.0,06/26/2012,
60612,IL,5.25,36950.0,06/23/2012,
60625,IL,5.25,46380.0,07/14/2008,
60051,IL,5.25,35440.0,4-7-2010,
60435,IL,5.32,37490.0,04/29/2012,
60007,IL,5.32,46499.0,01/23/2007,
60513,IL,5.32,48950.0,12-10-2011,
62966,IL,5.33,35178.0,7-9-2008,
60047,IL,5.37,12360.0,12/21/2012,
62040,IL,5.39,24000.0,5-4-2012,
62040,IL,5.39,,5-1-2012,
60504,IL,5.4,60000.0,06/30/2005,
60108,IL,5.4,34000.0,06/16/2010,
62546,IL,5.444,27969.0,07/16/2007,
61015,IL,5.5,25770.0,04/28/2011,
60124,IL,5.5,37900.0,02/25/2011,
61523,IL,5.6,50400.0,5-8-2012,
60044,IL,5.6,48860.0,08/13/2009,
60610,IL,5.6,48173.0,05/15/2006,
61015,IL,5.6,25714.49,03/19/2010,
61075,IL,5.6,32853.0,2-4-2010,
61417,IL,5.64,22560.0,09/15/2012,
60450,IL,5.64,28100.0,10/16/2012,
61423,IL,5.64,18778.0,09/22/2012,
61010,IL,5.64,18038.0,9-7-2012,
60531,IL,5.64,28100.0,05/15/2012,
61041,IL,5.64,17978.0,10/20/2012,
62521,IL,5.64,43323.0,8-5-2010,
60518,IL,5.7,41619.0,10/14/2011,
