Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=2&minsize=0&state=CA
94513,CA,0.676,6307.2,09/30/2002,
95404,CA,0.676,5176.0,11/15/2005,
92028,CA,0.68,5084.8,04/13/2007,
94597,CA,0.68,5086.5,08/16/2006,
94070,CA,0.68,5327.4,10/17/2006,
95945,CA,0.68,4039.13,06/30/2006,
92065,CA,0.68,6294.79,06/22/2006,
92653,CA,0.681,4976.18,07/25/2001,
95624,CA,0.69,3750.0,3-6-2013,
92835,CA,0.6912,3823.16,10/23/2001,
95410,CA,0.699,6220.0,05/22/2006,
92630,CA,0.7,5179.0,05/17/2007,
92563,CA,0.7,5744.0,09/28/2006,
91343,CA,0.7,5621.0,10/16/2007,
95669,CA,0.7,10500.0,11/27/2001,
92104,CA,0.7044,4434.99,01/18/2001,
93555,CA,0.71364,6226.0,9-4-2001,
92374,CA,0.72,9080.0,08/28/2002,
94114,CA,0.72,8189.44,12/22/2003,
93514,CA,0.72,4539.85,05/28/2004,
95338,CA,0.72,6616.0,12/15/2003,
94513,CA,0.724176,6307.2,09/30/2002,
93449,CA,0.725,8475.91,12-11-2001,
92653,CA,0.7296,4976.18,07/25/2001,
95488,CA,0.736,6249.9,12/21/1999,
95404,CA,0.738,5176.0,11/15/2005,
95410,CA,0.738,6220.0,05/22/2006,
95426,CA,0.74,5810.0,07/27/2007,
90405,CA,0.74,6214.0,7-9-2002,
95945,CA,0.74,4039.13,06/30/2006,
92119,CA,0.741,6918.0,12/14/2001,
92064,CA,0.742,5594.0,03/13/2001,
92064,CA,0.742,4302.11,07/25/2002,
95669,CA,0.74976,10500.0,11/27/2001,
94107,CA,0.757,8770.09,11-8-2001,
95125,CA,0.757,9757.08,01/15/2002,
95962,CA,0.765,5662.0,12-7-1999,
95519,CA,0.766,13000.0,5-2-2001,
95004,CA,0.768,12302.4,3-10-2003,
95246,CA,0.774,7992.0,11-1-1999,
92345,CA,0.774,10474.0,12/21/1999,
93449,CA,0.7764,8475.91,12-11-2001,
95827,CA,0.78,,04/23/2001,
95570,CA,0.785,5158.14,12-3-2003,
95488,CA,0.7884,6249.9,12/21/1999,
90405,CA,0.7932,6214.0,7-9-2002,
92119,CA,0.7944,6918.0,12/14/2001,
92064,CA,0.79488,5594.0,03/13/2001,
92064,CA,0.79488,4302.11,07/25/2002,
90023,CA,0.8,9318.68,11/22/2002,
93402,CA,0.8,8300.53,05/31/2002,
95682,CA,0.8,6066.0,8-9-2004,
95451,CA,0.805,11884.28,11/27/2001,
93110,CA,0.807,8170.98,02/20/2001,
90291,CA,0.81,9319.22,1-10-2002,
94107,CA,0.8112,8770.09,11-8-2001,
95125,CA,0.8112,9757.08,01/15/2002,
95112,CA,0.815,11800.0,12/31/2001,
92040,CA,0.816,5683.25,10/31/2000,
95519,CA,0.8208,13000.0,5-2-2001,
95246,CA,0.8292,7992.0,11-1-1999,
92036,CA,0.832,8449.63,12/31/2001,
94702,CA,0.833,11410.89,02/19/2002,
92260,CA,0.834,7814.25,11/20/2002,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,,09/19/2007,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,,09/19/2007,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,,09/19/2007,
92109,CA,0.836,,09/19/2007,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,,09/19/2007,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,,09/19/2007,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92109,CA,0.836,7942.1,06/15/2005,
92127,CA,0.84,11632.84,08/15/2007,
92127,CA,0.84,11632.84,08/15/2007,
92127,CA,0.84,11632.84,08/15/2007,
92127,CA,0.84,11632.84,08/15/2007,
92127,CA,0.84,11632.84,9-5-2007,
91977,CA,0.84,11632.84,08/15/2007,
91977,CA,0.84,11632.84,08/15/2007,
91977,CA,0.84,11632.84,08/15/2007,
91977,CA,0.84,11632.84,08/15/2007,
95570,CA,0.8412,5158.14,12-3-2003,
92342,CA,0.843,9200.0,01/23/2002,
95528,CA,0.844,6445.0,07/25/2001,
95959,CA,0.85,16880.32,03/29/2007,
94804,CA,0.85,6329.0,08/20/2004,
91001,CA,0.85,9895.0,07/26/2005,
91768,CA,0.851,8080.0,6-3-1999,
92252,CA,0.852,8936.0,05/23/2002,
91024,CA,0.853,10750.0,1-2-2002,
95959,CA,0.855,3034.58,03/15/2006,
95521,CA,0.857,5312.36,3-1-2004,
90732,CA,0.86,13570.0,1-3-2003,
92065,CA,0.861,19598.21,04/14/1999,
92086,CA,0.861,5112.57,6-3-1999,
95215,CA,0.861,9389.5,01/31/2002,
94549,CA,0.862,14970.0,01/20/2000,
92065,CA,0.862,5899.0,6-8-2001,
95405,CA,0.862,8597.62,03/18/2002,
92683,CA,0.862,10000.0,1-9-2003,
95451,CA,0.8628,11884.28,11/27/2001,
93110,CA,0.864708,8170.98,02/20/2001,
94563,CA,0.868,13629.0,8-12-1998,
95460,CA,0.87,13784.0,12/24/1998,
92277,CA,0.87,11139.38,01/28/2002,
95818,CA,0.87,11210.0,02/26/2010,
95451,CA,0.871,8465.0,11/14/2001,
94558,CA,0.871,8988.0,11/15/2001,
93277,CA,0.871,5669.46,08/27/2002,
94928,CA,0.872,6808.43,01/29/2002,
95112,CA,0.8736,11800.0,12/31/2001,
92040,CA,0.87408,5683.25,10/31/2000,
94705,CA,0.875,3454.17,04/17/2007,
92603,CA,0.875,10093.34,11/15/2005,
94710,CA,0.876,19801.0,8-2-2000,
94951,CA,0.878,6857.46,10-10-2006,
93442,CA,0.88,5258.25,04/19/2006,
95627,CA,0.88,7936.0,11-7-2000,
94022,CA,0.88,7330.0,02/22/2002,
96007,CA,0.88,6480.64,2-5-2003,
95540,CA,0.88,7368.92,1-9-2004,
91361,CA,0.88,6541.0,10/13/2005,
92870,CA,0.88,6480.64,2-5-2003,
91362,CA,0.88,6541.0,10/13/2005,
94553,CA,0.881,13826.0,02/20/2001,
90504,CA,0.882,10478.88,7-11-2001,
90504,CA,0.883,6219.68,09/25/2002,
92019,CA,0.884,10415.0,6-8-2001,
95123,CA,0.885,17448.77,03/30/1999,
95246,CA,0.885,8377.9,12-7-1999,
92109,CA,0.886,,09/19/2007,
95338,CA,0.89,11190.0,03/28/2000,
93427,CA,0.89,11077.43,08/23/2001,
92672,CA,0.89,6775.65,09/25/2001,
92020,CA,0.89,10560.0,06/25/2001,
92591,CA,0.89,11835.0,10/26/2001,
92115,CA,0.89,9332.05,11-1-2001,
92123,CA,0.89,6396.25,4-10-2002,
92115,CA,0.89,8180.67,12-10-2001,
92116,CA,0.89,11810.0,10/23/2001,
96096,CA,0.89,8000.0,09/16/2002,
93221,CA,0.89,7155.0,5-6-2003,
92036,CA,0.8916,8449.63,12/31/2001,
94703,CA,0.892,5000.0,09/14/2000,
94087,CA,0.892,8000.0,11/16/2001,
94702,CA,0.8928,11410.89,02/19/2002,
95472,CA,0.893,8250.0,07/14/2005,
92260,CA,0.894,7814.25,11/20/2002,
94618,CA,0.899,4528.64,08/13/2001,
95956,CA,0.9,8640.19,05/30/2007,
92117,CA,0.9,9868.0,12/16/2002,
92105,CA,0.9,8000.0,8-2-2002,
93117,CA,0.9,6750.0,12/18/2002,
95969,CA,0.9,4287.38,12-4-2002,
92109,CA,0.9,7942.1,10-12-2006,
92109,CA,0.9,7942.1,10-12-2006,
92109,CA,0.9,8267.0,8-9-2006,
92109,CA,0.9,7442.07,03/20/2007,
92109,CA,0.9,8266.74,06/22/2005,
92109,CA,0.9,8266.74,6-8-2006,
92109,CA,0.9,7442.07,10/27/2006,
92109,CA,0.9,7442.07,8-2-2006,
92109,CA,0.9,7442.07,8-2-2006,
92109,CA,0.9,7442.07,8-2-2006,
92109,CA,0.9,7442.07,8-2-2006,
92109,CA,0.9,7442.07,8-2-2006,
92109,CA,0.9,7442.07,8-2-2006,
92109,CA,0.9,8267.0,8-2-2006,
92109,CA,0.9,8267.0,8-2-2006,
92109,CA,0.9,8267.0,8-2-2006,
92109,CA,0.9,8267.0,8-2-2006,
92109,CA,0.9,8267.0,8-2-2006,
92109,CA,0.9,8267.0,8-2-2006,
92109,CA,0.9,8267.0,8-2-2006,
92109,CA,0.9,8267.0,8-8-2006,
92109,CA,0.9,7442.07,8-8-2006,
92109,CA,0.9,8267.0,8-8-2006,
92109,CA,0.9,7442.07,8-8-2006,
