Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=6&minsize=5&state=CA
91030,CA,5.0,21750.0,11/21/2013,
91710,CA,5.0,30000.0,10-9-2013,
91710,CA,5.0,24500.0,01/15/2014,
91723,CA,5.0,21000.0,12/30/2013,
91724,CA,5.0,30000.0,01/15/2014,
91724,CA,5.0,34800.0,01/28/2014,
91108,CA,5.0,34450.0,05/28/2013,
91301,CA,5.0,16969.84,11-4-2013,
95442,CA,5.0,76500.0,06/23/2008,
91302,CA,5.0,35900.0,9-3-2013,
91302,CA,5.0,65472.0,07/27/2012,
93402,CA,5.0,38800.0,7-8-2008,
91320,CA,5.0,28600.0,1-7-2013,
91320,CA,5.0,24500.0,01/29/2014,
91737,CA,5.0,24800.0,9-6-2013,
91739,CA,5.0,22000.0,05/23/2013,
94506,CA,5.0,54150.0,08/13/2008,
91739,CA,5.0,21917.84,10-12-2013,
91739,CA,5.0,27501.0,1-3-2014,
91739,CA,5.0,21300.0,2-11-2014,
91741,CA,5.0,24010.0,01/17/2014,
91741,CA,5.0,16800.0,01/30/2014,
91744,CA,5.0,24203.0,01/29/2014,
91744,CA,5.0,24500.0,01/13/2014,
90405,CA,5.0,20714.0,2-7-2014,
90503,CA,5.0,17341.2,06/19/2013,
90503,CA,5.0,24500.0,2-7-2014,
90504,CA,5.0,24500.0,02/24/2014,
90504,CA,5.0,31700.0,01/16/2014,
90504,CA,5.0,0.0,12/14/2013,
90601,CA,5.0,28500.0,12-12-2013,
90601,CA,5.0,30173.35,05/21/2013,
90602,CA,5.0,24500.0,2-10-2014,
90603,CA,5.0,21810.0,01/21/2014,
90604,CA,5.0,24206.0,02/22/2013,
90620,CA,5.0,0.0,08/29/2013,
90620,CA,5.0,20150.0,02/20/2014,
93420,CA,5.0,41173.0,11-5-2008,
92014,CA,5.0,41850.0,12-9-2008,
90211,CA,5.0,29812.0,05/22/2013,
90230,CA,5.0,30000.0,01/15/2014,
90241,CA,5.0,24500.0,01/30/2014,
90241,CA,5.0,0.0,12/14/2013,
90241,CA,5.0,22250.0,2-11-2014,
