Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=TN
37886,TN,4.900.000.095,,10/15/2009,
37206,TN,5.0,,05/17/2011,
37206,TN,5.0,,1-9-2007,
38501,TN,5,45000,1-1-2006,
37201,TN,5,237500,1-1-2007,
37191,TN,5.04,,07/26/2012,
37916,TN,5.1,,05/17/2011,
37916,TN,5.1,,9-7-2007,
37916,TN,5.1,40000,12-6-2007,
37062,TN,5.159.999.847,,4-9-2010,
37412,TN,5.16,,05/17/2011,
37062,TN,5.16,,05/17/2011,
37412,TN,5.16,,10/22/2009,
37062,TN,5.16,,4-5-2010,
37615,TN,5.17,,05/30/2011,
37211,TN,5.170.000.076,,2-4-2010,
37129,TN,5.199.999.809,,01/13/2010,
37343,TN,5.199.999.809,,04/16/2010,
37615,TN,5.23,,07/31/2012,
37748,TN,5.25,,11-4-2009,
37650,TN,5.25,40665,07/14/2009,
37748,TN,5.25,45000,4-11-2007,
37129,TN,5.28,,10/21/2011,
37069,TN,5.28,,07/27/2012,
37777,TN,5.320.000.172,,10/15/2009,
37080,TN,5.375.999.928,,7-9-2010,
37640,TN,5.38,,05/17/2011,
37640,TN,5.38,,7-1-2010,
38501,TN,5.4,,05/17/2011,
37215,TN,5.4,,05/17/2011,
37027,TN,5.4,,05/17/2011,
38501,TN,5.4,,02/24/2009,
37215,TN,5.4,,7-10-2009,
38583,TN,5.4,45900,1-1-2008,
37201,TN,5.4,45900,1-1-2008,
37129,TN,5.52,,05/17/2011,
37129,TN,5.52,,11/13/2009,
37391,TN,5.52,46000,12/24/2009,
37205,TN,5.6,,05/17/2011,
37205,TN,5.6,,5-11-2007,
37201,TN,5.6,53200,1-1-2007,
37641,TN,5.67,,06/22/2012,
37803,TN,5.670.000.076,,04/22/2010,
38454,TN,5.7,,09/22/2011,
37777,TN,5.7,28000,11/23/2009,
37037,TN,5.71,,05/17/2011,
37037,TN,5.71,,05/17/2011,
37037,TN,5.71,,05/17/2011,
37037,TN,5.71,,10/27/2010,
37037,TN,5.71,,1-5-2011,
37923,TN,5.8,40600,1-1-2008,
37046,TN,5.88,,05/17/2011,
37208,TN,5.88,,05/17/2011,
37046,TN,5.88,,12/29/2010,
37082,TN,5.88,,07/27/2011,
37377,TN,6.0,,10/22/2011,
37412,TN,6.0,,10/22/2009,
37183,TN,6.0,,1-8-2010,
37375,TN,6.0,,03/17/2010,
38571,TN,6.0,,4-6-2010,
37618,TN,6.0,,07/19/2010,
37201,TN,6,57000,1-1-2007,
37072,TN,6.019.999.981,,09/22/2009,
37220,TN,6.08,,05/17/2011,
38372,TN,6.08,,05/17/2011,
38372,TN,6.08,,6-5-2009,
37220,TN,6.08,,07/17/2009,
37027,TN,6.199.999.809,,9-8-2009,
37027,TN,6.2,,05/17/2011,
37027,TN,6.2,,08/28/2009,
37375,TN,6.21,,05/17/2011,
37375,TN,6.21,,01/17/2011,
37064,TN,6.24,,09/22/2011,
37079,TN,6.24,,08/21/2012,
37377,TN,6.400.000.095,,5-10-2010,
37040,TN,6.48,,01/25/2012,
37072,TN,6.48,,09/21/2012,
37208,TN,6.8,,05/17/2011,
37208,TN,6.8,,10/30/2007,
37201,TN,6.8,64600,1-1-2007,
37013,TN,6.9,45000.0,8-1-2009,
37013,TN,6.9,,05/17/2011,
38501,TN,6.9,,05/17/2011,
37221,TN,6.9,,05/17/2011,
37916,TN,6.9,,08/20/2009,
37221,TN,6.9,,11-10-2009,
37013,TN,6.9,,8-12-2010,
37033,TN,7.0,,02/25/2010,
37923,TN,7.1,49700,2-11-2009,
37923,TN,7.1,49700,1-1-2008,
37909,TN,7.125,54000,2-10-2009,
37086,TN,7.14,,05/17/2011,
37086,TN,7.14,,08/18/2011,
38544,TN,7.199.999.809,,07/29/2010,
38544,TN,7.2,,05/17/2011,
37150,TN,7.2,,05/17/2011,
38544,TN,7.2,,07/29/2010,
37150,TN,7.2,,09/21/2010,
38305,TN,7.2,,12/17/2009,
38570,TN,7.5,,05/17/2011,
38542,TN,7.5,71250,1-1-2007,
37777,TN,7.519.999.981,,07/15/2010,
37615,TN,7.52,,9-5-2011,
38543,TN,7.56,,5-1-2007,
38305,TN,7.56,65000,11/23/2009,
38462,TN,7.62,,09/23/2011,
37129,TN,7.68,,12/19/2011,
37343,TN,7.75,,05/16/2014,
37013,TN,7.92,,10/15/2012,
37379,TN,8.0,,7-2-2013,
37310,TN,8.0,,01/13/2012,
37167,TN,8.0,,05/17/2011,
37167,TN,8.0,,06/16/2009,
37830,TN,8,64000,1-1-2002,
38305,TN,8.0,,12-11-2009,
37923,TN,8,76000,1-1-2007,
37167,TN,8,68000,1-1-2008,
37024,TN,8.06,,10/21/2011,
37091,TN,8.064,,05/17/2011,
37069,TN,8.09,,07/18/2011,
37069,TN,8.092,,05/17/2011,
38544,TN,8.1,,06/25/2012,
37062,TN,8.279.999.733,,12-11-2009,
37069,TN,8.28,,05/17/2011,
37062,TN,8.28,,05/17/2011,
37069,TN,8.28,,06/16/2009,
37062,TN,8.28,,12/13/2009,
38563,TN,8.28,,08/24/2011,
37069,TN,8.28,57960,1-1-2008,
37354,TN,8.5,,06/22/2010,
37306,TN,8.64,,3-12-2012,
37882,TN,8.64,,4-5-2012,
37212,TN,8.64,,9-6-2012,
38501,TN,8.82,,05/17/2011,
38506,TN,8.82,,02/21/2011,
37064,TN,8.97,,10/14/2011,
37888,TN,8.979.999.542,,8-5-2010,
37191,TN,9.0,,10-6-2011,
37725,TN,9.0,,09/30/2009,
38571,TN,9.2,63824.0,09/27/2011,
37013,TN,9.2,,7-9-2010,
37354,TN,9.239.999.771,,04/29/2010,
37014,TN,9.45,,05/17/2011,
37014,TN,9.45,,06/16/2009,
37303,TN,9.5,,08/31/2010,
37888,TN,9.520.000.458,,8-11-2010,
37027,TN,9.6,,02/21/2012,
37135,TN,9.66,82110,1-1-2008,
37090,TN,9.8,,05/17/2011,
37090,TN,9.8,,06/30/2011,
37421,TN,10.0,,04/16/2014,
37821,TN,10,80000,1-3-2000,
37809,TN,10.0,,09/14/2010,
37183,TN,10.08,,05/17/2011,
37183,TN,10.08,,4-5-2012,
37209,TN,1.030.000.019,,8-12-2010,
37771,TN,1.039.999.962,,11-6-2009,
37601,TN,10.56,,05/17/2011,
37601,TN,10.56,,10/21/2010,
37082,TN,10.56,,5-1-2012,
38119,TN,10.6,,07/15/2010,
38069,TN,10.78,,12/20/2010,
37228,TN,10.8,,05/17/2011,
37228,TN,10.8,,10-8-2008,
37013,TN,1.097.999.954,,7-9-2010,
37013,TN,11.0,,05/17/2011,
37013,TN,11.0,,05/17/2011,
37076,TN,11.0,,7-1-2008,
37076,TN,11,104500,1-1-2007,
38119,TN,1.103.999.996,,07/15/2010,
38119,TN,11.04,,05/17/2011,
37027,TN,11.42,,05/17/2011,
38340,TN,11.5,,2-2-2010,
37760,TN,11.52,,10/31/2011,
37601,TN,11.52,,12/28/2011,
37172,TN,11.76,,05/17/2011,
37172,TN,11.76,,12-2-2010,
37027,TN,11.96,,03/30/2011,
37821,TN,12.0,,1-8-2010,
37201,TN,12,114000,1-1-2007,
37205,TN,12.24,,05/17/2011,
37027,TN,12.24,,05/17/2011,
37205,TN,12.24,,2-12-2007,
37027,TN,12.24,,04/29/2007,
37085,TN,12.48,,08/30/2012,
37643,TN,12.96,,05/17/2011,
37643,TN,12.96,,11/18/2010,
38372,TN,12.96,100000,8-5-2009,
37201,TN,13,114000,1-1-2007,
38501,TN,13.44,,05/17/2011,
38501,TN,13.44,,05/20/2010,
37601,TN,13.44,,11/21/2011,
37046,TN,13.5,,05/17/2011,
37643,TN,13.5,,05/17/2011,
37046,TN,13.5,,08/18/2008,
37643,TN,13.5,,11/30/2010,
37046,TN,13.5,128250,1-2-2007,
37203,TN,13.8,,05/17/2011,
37203,TN,13.8,,10-7-2009,
37203,TN,1.380.000.019,,10-9-2009,
37922,TN,14.0,,5-7-2010,
38571,TN,14.1,79996.0,09/27/2011,
38012,TN,14.3,,11/24/2010,
37027,TN,1.439.999.962,,8-12-2010,
37027,TN,14.4,,05/17/2011,
38483,TN,14.4,,2-2-2012,
37064,TN,14.7,,05/16/2014,
37064,TN,14.7,,05/17/2011,
37064,TN,14.7,,06/29/2009,
37069,TN,14.7,124950,1-1-2008,
37923,TN,15,150000,6-6-2001,
37923,TN,15,120000,1-1-2000,
37042,TN,15.12,,06/28/2012,
37601,TN,15.36,,11-1-2011,
37760,TN,16.0,,09/30/2009,
37760,TN,16.1,,07/16/2009,
37069,TN,16.2,,05/17/2011,
37069,TN,16.2,,12/29/2009,
37069,TN,1.620.000.076,,01/15/2010,
38068,TN,1.655.999.947,,11/30/2009,
38068,TN,16.56,,05/17/2011,
38023,TN,16.56,,05/17/2011,
38068,TN,16.56,,11-10-2009,
38023,TN,16.56,,12/16/2010,
37830,TN,17,144500,1-1-2001,
38483,TN,17.28,,05/17/2011,
38483,TN,17.28,,07/21/2010,
37064,TN,17.64,,05/17/2011,
37064,TN,17.64,,07/20/2011,
37043,TN,18.72,,06/19/2012,
37402,TN,20.0,,9-7-2010,
37862,TN,20,160000,1-1-2001,
38024,TN,20,160000,1-1-2002,
37601,TN,20.13,,05/17/2011,
37601,TN,20.13,,02/23/2011,
38478,TN,2.015.999.985,,08/13/2010,
37861,TN,20.16,,10/16/2012,
37066,TN,20.58,,05/17/2011,
37066,TN,20.58,,05/17/2011,
