ZIP,State,Annual Average (kWh/m2/day)
2150,MA,3;79
2151,MA,3;78
2152,MA,3;86
2155,MA,3;76
2163,MA,3;69
2169,MA,3;75
2170,MA,3;75
2171,MA,3;83
2176,MA,3;78
2180,MA,3;80
2184,MA,3;74
2186,MA,3;82
2188,MA,3;66
2189,MA,3;66
2190,MA,3;68
2191,MA,3;65
2199,MA,3;79
2203,MA,3;79
2210,MA,3;79
2215,MA,3;74
2222,MA,3;79
2301,MA,3;81
2302,MA,3;78
2322,MA,3;81
2324,MA,3;80
2325,MA,3;83
2330,MA,3;81
2332,MA,3;77
2333,MA,3;81
2338,MA,3;81
2339,MA,3;76
2341,MA,3;79
2343,MA,3;74
2346,MA,3;81
2347,MA,3;82
2350,MA,3;78
2351,MA,3;76
2356,MA,3;82
2359,MA,3;77
2360,MA,3;78
2364,MA,3;79
2367,MA,3;82
2368,MA,3;83
2370,MA,3;75
2375,MA,3;81
2379,MA,3;81
2382,MA,3;80
2420,MA,3;77
2421,MA,3;77
2445,MA,3;69
2446,MA,3;69
2451,MA,3;79
2452,MA,3;76
2453,MA,3;76
2458,MA,3;76
2459,MA,3;78
2460,MA,3;76
2461,MA,3;78
2462,MA,3;83
2464,MA,3;83
2465,MA,3;83
2466,MA,3;83
2467,MA,3;75
2468,MA,3;83
2472,MA,3;76
2474,MA,3;74
2476,MA,3;77
2478,MA,3;77
2481,MA,3;79
2482,MA,3;78
2492,MA,3;82
2493,MA,3;77
2494,MA,3;82
2532,MA,3;79
2534,MA,3;73
2535,MA,3;79
2536,MA,3;79
2537,MA,3;71
2538,MA,3;77
2539,MA,3;72
2540,MA,3;76
2542,MA,3;75
2543,MA,3;76
2554,MA,3;70
2556,MA,3;73
2558,MA,3;78
2559,MA,3;78
2561,MA,3;83
2562,MA,3;78
2563,MA,3;76
2564,MA,3;57
2568,MA,3;75
2571,MA,3;78
2575,MA,3;79
2576,MA,3;81
2601,MA,3;77
2630,MA,3;69
2631,MA,3;62
2632,MA,3;80
2633,MA,3;67
2635,MA,3;85
2637,MA,3;70
2638,MA,3;62
2639,MA,3;67
2642,MA,3;66
2643,MA,3;65
2644,MA,3;77
2645,MA,3;64
2646,MA,3;67
2647,MA,3;77
2648,MA,3;76
2649,MA,3;82
2650,MA,3;62
2652,MA,3;60
2653,MA,3;64
2655,MA,3;80
2657,MA,3;66
2659,MA,3;65
2660,MA,3;62
2663,MA,3;60
2664,MA,3;70
2666,MA,3;63
2667,MA,3;68
2668,MA,3;72
2670,MA,3;67
2671,MA,3;67
2673,MA,3;74
2675,MA,3;66
2702,MA,3;83
2703,MA,3;79
2715,MA,3;85
2717,MA,3;82
2718,MA,3;82
2719,MA,3;79
2720,MA,3;83
2721,MA,3;83
2723,MA,3;83
2724,MA,3;81
2725,MA,3;84
2726,MA,3;84
2738,MA,3;78
2739,MA,3;74
2740,MA,3;83
2743,MA,3;79
2744,MA,3;80
2745,MA,3;83
2746,MA,3;83
2747,MA,3;80
2748,MA,3;79
2760,MA,3;78
2762,MA,3;78
2763,MA,3;78
2764,MA,3;84
2766,MA,3;80
2767,MA,3;81
2769,MA,3;82
2770,MA,3;78
2771,MA,3;79
2777,MA,3;81
2779,MA,3;83
2780,MA,3;81
2790,MA,3;80
2802,RI,3;79
2804,RI,3;90
2806,RI,3;77
2808,RI,3;90
2809,RI,3;80
2812,RI,3;90
2813,RI,3;89
2814,RI,3;82
2815,RI,3;87
2816,RI,3;88
2817,RI,3;89
2818,RI,3;88
2822,RI,3;88
2824,RI,3;81
2825,RI,3;86
2826,RI,3;83
2827,RI,3;89
2828,RI,3;82
2829,RI,3;79
2830,RI,3;80
2831,RI,3;83
2832,RI,3;89
2833,RI,3;89
2835,RI,3;84
2836,RI,3;93
2837,RI,3;72
2838,RI,3;79
2839,RI,3;83
2840,RI,3;75
2841,RI,3;79
2842,RI,3;74
2852,RI,3;87
2857,RI,3;83
2858,RI,3;83
2859,RI,3;78
2860,RI,3;82
2861,RI,3;81
2863,RI,3;82
2864,RI,3;79
2865,RI,3;80
2871,RI,3;76
2873,RI,3;86
2874,RI,3;88
2875,RI,3;93
2876,RI,3;81
2877,RI,3;87
2878,RI,3;73
2879,RI,3;87
2881,RI,3;88
2882,RI,3;87
2885,RI,3;76
2886,RI,3;85
2888,RI,3;82
2889,RI,3;84
2891,RI,3;89
2892,RI,3;89
2893,RI,3;85
2894,RI,3;92
2895,RI,3;80
2896,RI,3;81
2898,RI,3;89
2902,RI,3;83
2903,RI,3;82
2904,RI,3;82
2905,RI,3;82
2906,RI,3;82
2907,RI,3;85
2908,RI,3;83
2909,RI,3;83
2910,RI,3;85
2911,RI,3;83
2912,RI,3;83
2914,RI,3;78
2915,RI,3;78
2916,RI,3;81
2917,RI,3;81
2919,RI,3;82
2920,RI,3;85
2921,RI,3;83
