INCITS,Zipcode,Radiation
41015,97476,3;99
41017,97760,4;00
28033,71078,4;64
28031,39479,4;57
28037,99343,4;60
29113,99185,4;60
29111,98596,4;65
48173,79739,3;58
48179,79065,3;58
56033,82844,4;09
56031,82215,4;17
56037,82945,4;08
56035,83115,3;98
56039,83455,4;14
33015,27326,4;48
33013,3307,4;53
33019,64667,4;74
30099,83455,4;40
30097,59055,4;41
30093,59750,4;39
39113,77386,4;53
39111,72134,4;42
39117,97844,4;40
39119,43842,4;43
53019,99166,3;73
48401,75691,3;42
51061,22742,4;36
51063,79241,4;44
8097,81656,4;02
8093,82450,4;02
8091,81432,4;06
48237,76486,3;61
48235,76941,3;61
36017,13844,4;57
36013,67361,4;59
46065,74883,3;74
46069,57540,3;82
48301,79754,3;61
48307,76872,3;59
48309,76798,3;58
17045,61955,3;64
17047,78880,3;74
17049,62473,3;64
20165,67575,4;41
55073,54488,4;01
55071,54247,4;02
55077,54960,4;05
55075,54177,4;10
55079,53235,4;08
51550,23325,4;46
2170,99694,3;75
40121,74576,4;05
6073,92179,3;79
6071,93562,3;73
6079,93465,3;72
21239,61771,4;10
17057,72583,3;80
17055,99343,3;85
17053,67882,3;83
17051,78963,3;64
17059,62984,3;66
18087,78948,3;68
28129,75792,4;60
28125,39159,4;61
28127,42134,4;58
36093,12309,4;52
36091,12884,4;43
21031,68669,4;00
21035,42076,4;14
21037,82732,4;12
18015,72660,3;74
25019,2564,3;65
25015,26865,3;67
29153,65761,4;62
5149,72860,3;77
5143,97229,3;75
5141,72629,3;79
37151,72478,4;01
37153,30912,4;11
46103,57791,3;91
46107,79124,3;91
46105,69168,3;89
13045,72660,3;57
18077,98376,3;78
39095,50272,4;46
8029,81428,4;02
8023,81152,4;07
8021,81151,4;05
8027,83278,4;01
48239,97541,3;60
48233,79083,3;59
35049,87574,4;27
35045,98280,4;43
35043,87124,4;34
27019,55397,4;48
27017,55798,4;39
27011,56278,4;51
27013,56090,4;59
48363,76484,3;57
26059,49288,3;49
26055,49696,3;54
18085,46982,3;70
18083,79529,3;70
48097,76272,3;51
48095,76937,3;57
48009,76389,3;62
48001,75861,3;63
48003,79714,3;56
48005,75980,3;56
23009,62380,4;31
40059,73855,4;05
40057,73571,4;04
40055,73673,4;05
40051,73092,3;98
38001,99371,4;27
30009,84542,4;40
39067,75692,4;42
39063,62380,4;44
39069,65360,4;44
12069,97735,3;74
12061,32968,3;84
12063,97541,3;79
12065,98376,3;96
12067,71860,3;97
23005,62468,4;35
20137,67654,4;32
20135,67584,4;11
41045,97920,3;96
41043,97446,3;94
41041,99185,3;95
41049,97844,3;92
28043,38940,4;64
28041,72474,4;62
53039,99356,3;70
29053,65348,4;58
29051,65109,4;63
29055,72956,4;62
29059,75287,4;65
31057,69041,4;58
31055,98858,4;68
55087,54944,4;02
55085,83252,3;99
55089,53097,3;96
48423,75792,3;56
30043,98376,4;46
30041,76692,4;44
30047,97735,4;43
30045,59479,4;49
19047,72956,3;92
19043,52159,4;03
19041,76377,3;99
53063,99260,3;86
53061,98296,3;78
53065,99181,3;68
13167,82834,3;76
17097,97735,3;80
1085,39766,3;75
1083,76687,3;72
1081,78948,3;77
1089,83460,3;68
37055,27982,4;18
37057,37246,4;03
37051,62468,4;15
37059,27028,4;04
54009,26075,3;97
54001,36048,3;95
17009,76890,3;62
51045,74369,4;40
36049,98596,4;54
