Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=VT
5403,VT,2.07,17294.0,08/17/2011,
5068,VT,2.07,15139.99,1-10-2011,
5446,VT,2.1,19147.63,09/13/2007,
5664,VT,2.1,21513,04/15/2009,
5753,VT,2.1,19245,07/24/2008,
5461,VT,2.1,18675,05/16/2008,
5773,VT,2.1,16941.79,11-3-2008,
5445,VT,2.1,11085.0,11/15/2011,
5148,VT,2.1,31879.54,05/23/2011,
5403,VT,2.1,8765.54,01/31/2011,
5055,VT,2.115,10948.0,03/23/2012,
5055,VT,2.115,12150.0,10/19/2012,
5602,VT,2.15,19905,09/13/2007,
5477,VT,2.15,19495,7-12-2007,
5461,VT,2.16,33000,7-2-2004,
5344,VT,2.16,16975,08/16/2007,
5673,VT,2.16,15009,01/14/2005,
5674,VT,2.16,15009,01/28/2005,
5676,VT,2.16,27837.76,11-8-2007,
5462,VT,2.16,15365,7-3-2008,
5048,VT,2.16,18128.61,09/13/2007,
5075,VT,2.16,29189.09,3-9-2007,
5445,VT,2.16,14580,02/13/2004,
5477,VT,2.16,15535.0,12/28/2012,
5091,VT,2.2,19965,04/21/2009,
5677,VT,2.2,17506,5-11-2007,
5047,VT,2.2,11000,04/20/2006,
5149,VT,2.2,18517.5,5-1-2009,
5301,VT,2.2,17426,01/22/2009,
5841,VT,2.22,10730.26,10-3-2011,
5482,VT,2.22,13098.0,08/22/2011,
5676,VT,2.22,13320.0,4-8-2011,
5401,VT,2.25,60625.0,12-7-2011,
5855,VT,2.28,15760,7-1-2005,
5482,VT,2.28,16054,08/16/2007,
5301,VT,2.28,19010,06/15/2007,
5075,VT,2.28,18637.01,09/26/2008,
5602,VT,2.28,14300,01/28/2005,
5651,VT,2.28,33836,8-10-2006,
5465,VT,2.28,26201,06/15/2007,
5068,VT,2.28,18723.18,7-11-2008,
5860,VT,2.295,11475.0,06/19/2012,
5462,VT,2.3,18672,5-11-2006,
5077,VT,2.3,18964.79,10/17/2009,
5851,VT,2.3,28605.4,01/22/2009,
5486,VT,2.3,31522.6,2-4-2009,
5143,VT,2.3,31002,8-10-2006,
5036,VT,2.3,17077,10-7-2009,
5676,VT,2.3,14025.0,11-11-2010,
5048,VT,2.3,15615.0,11-11-2010,
5753,VT,2.3,15096.0,08/17/2010,
5143,VT,2.3,12600.0,9-12-2011,
5753,VT,2.3,16438.0,5-11-2011,
5674,VT,2.3,15131.39,03/29/2011,
5086,VT,2.3,14480.0,3-7-2011,
5061,VT,2.3,15318.0,01/17/2011,
5060,VT,2.3,15315.0,01/13/2011,
5403,VT,2.338,16502.82,05/28/2004,
5495,VT,2.34,22102,05/23/2008,
5344,VT,2.35,12408.0,01/16/2012,
5730,VT,2.35,,12/29/2011,
5255,VT,2.35,15890.0,08/28/2011,
