Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=UT
84067,UT,4.08,21216.0,08/30/2013,
84128,UT,4.08,22335.0,03/29/2013,
84774,UT,4.08,21915.0,05/29/2013,
84738,UT,4.08,44368.13,10/27/2008,
84741,UT,4.08,33195.01,07/17/2008,
84738,UT,4.08,38132.0,7-2-2008,
84093,UT,4.08,14590.16,11-1-2013,
84041,UT,4.08,10450.0,07/26/2013,
84124,UT,4.085,39670.0,6-2-2009,
84120,UT,4.1,24610.99,06/20/2005,
84117,UT,4.100.544,16170.52,1-3-2012,
84117,UT,4.100.544,16170.52,1-3-2012,
84606,UT,4.14,31001.67,12-1-2010,
84315,UT,4.14,17053.78,08/20/2010,
84095,UT,4.14,35782.0,07/26/2010,
84109,UT,4.18,39210.0,08/24/2007,
84341,UT,4.2,24840.0,8-12-2010,
84025,UT,4.2,22432.59,6-10-2009,
84098,UT,4.24,14850.0,11/18/2013,
84017,UT,4.24,27346.0,10-2-2013,
84124,UT,4.24,16000.0,12/30/2013,
84125,UT,4.25,15874.0,05/30/2013,
84103,UT,4.3,28680.0,11/15/2010,
84747,UT,4.3,35475.0,8-1-2010,
84106,UT,43.092,13920.15,11-4-2011,
84062,UT,4.32,33253.0,11-7-2010,
84093,UT,4.32,39000.0,10/26/2010,
84109,UT,4.32,37400.0,10/13/2010,
84047,UT,4.32,38307.0,09/24/2010,
84043,UT,4.34,13883.0,06/21/2013,
84043,UT,4.34,22875.0,03/26/2013,
84124,UT,436.392,14112.0,06/21/2011,
84103,UT,4.37,25900.0,12/15/2010,
84317,UT,4.41,28991.05,10-1-2010,
84124,UT,4.48,28000.0,10/28/2011,
84646,UT,4.5,24120.0,09/30/2013,
84098,UT,4.5,24120.0,11/18/2013,
84070,UT,4.5,24120.0,9-3-2013,
84109,UT,4.5,16380.0,02/25/2014,
84037,UT,4.5,16248.65,12/28/2010,
84067,UT,4.5,34252.0,12/14/2010,
84741,UT,4.5,35850.93,9-9-2010,
84741,UT,4.5,35851.93,9-1-2010,
84532,UT,4.5,15315.0,12/30/2013,
84108,UT,4.508,18262.01,9-1-2010,
84532,UT,4.56,38385.89,10-1-2008,
84532,UT,4.56,47364.0,09/24/2008,
84630,UT,4.59,24593.0,6-7-2013,
84335,UT,4.59,16751.43,08/22/2013,
84302,UT,4.6,25690.1,2-9-2011,
84097,UT,4.6,30086.24,11/22/2010,
84092,UT,4.6,26857.57,07/17/2010,
84020,UT,4.68,16685.0,07/26/2013,
84043,UT,4.7,24675.0,04/29/2013,
84532,UT,4.7,10594.94,11/19/2013,
84532,UT,4.7,25000.0,10-4-2013,
84065,UT,4.77,28000.0,11/18/2013,
84337,UT,4.8,13873.64,11-5-2010,
84770,UT,4.8,49455.0,09/27/2006,
84098,UT,4.8,25258.0,02/20/2014,
84532,UT,4.8,17548.0,11-1-2013,
84003,UT,4.845,23775.0,05/13/2013,
84054,UT,4.845,16004.8,07/26/2013,
84062,UT,4.86,27695.0,12/18/2010,
84532,UT,4.88,15717.0,12/13/2013,
84761,UT,4.9,27133.45,1-1-2010,
84040,UT,4.9,13181.0,01/27/2014,
84745,UT,4.95,47691.89,4-1-2009,
84645,UT,4.955,16513.0,07/24/2013,
84604,UT,5.0,26250.0,05/31/2013,
84664,UT,5.0,26475.0,10/16/2013,
84095,UT,5.0,26745.0,9-4-2013,
84067,UT,5.0,34107.0,1-7-2013,
84065,UT,5.0,26250.0,08/26/2013,
84093,UT,5.0,26745.0,9-12-2013,
84003,UT,5.0,36745.0,11/26/2013,
84109,UT,5.0,19845.0,05/30/2013,
84783,UT,5.0,9875.0,07/26/2013,
84124,UT,5.0,27655.0,08/15/2013,
84108,UT,5.0,21932.75,01/27/2014,
84092,UT,5.035,17035.57,11/18/2013,
84335,UT,5.035,17282.28,01/27/2014,
84335,UT,5.04,28320.45,12/31/2009,
84106,UT,5.04,12000.0,09/30/2011,
84003,UT,5.06,35046.0,12/27/2010,
84124,UT,5.094.144,36802.88,12-9-2011,
84062,UT,5.1,25995.0,05/22/2013,
84005,UT,5.1,25995.0,4-12-2013,
84119,UT,5.1,27270.0,06/18/2013,
84738,UT,5.1,18564.0,02/13/2014,
84121,UT,5.1,17377.22,08/15/2013,
84108,UT,5.1,18961.95,6-3-2013,
84074,UT,5.13,6025.0,02/25/2014,
84025,UT,5.145,11748.5,09/23/2013,
84098,UT,5.2,26944.0,07/26/2013,
