Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=10&minsize=7&state=CA
92234,CA,7.0,30800.0,1-9-2014,
92234,CA,7.0,28000.0,9-3-2013,
92234,CA,7.0,31780.0,11/22/2013,
92234,CA,7.0,33450.0,2-5-2014,
91354,CA,7.0,35469.4,9-9-2013,
91362,CA,7.0,33755.53,12-6-2013,
91362,CA,7.0,24118.48,9-6-2013,
91381,CA,7.0,0.0,12/19/2011,
91387,CA,7.0,0.0,12/14/2013,
91701,CA,7.0,0.0,12/14/2013,
91773,CA,7.0,0.0,11/15/2011,
92234,CA,7.0,35500.0,01/31/2014,
92307,CA,7.0,0.0,12/14/2013,
92345,CA,7.0,0.0,12-11-2013,
92264,CA,7.0,0.0,12/13/2013,
90274,CA,7.0,43229.37,4-6-2011,
90274,CA,7.0,26500.0,3-11-2013,
93221,CA,7.0,57083.11,08/21/2007,
90275,CA,7.0,33060.0,5-1-2013,
93274,CA,7.0,53324.2,9-11-2007,
92563,CA,7.0,55000.0,10-2-2007,
94951,CA,7.0,43827.0,11/15/2007,
94542,CA,7.0,55373.0,12-6-2007,
91320,CA,7.0,37310.0,02/22/2013,
91321,CA,7.0,24100.0,8-5-2013,
91340,CA,7.0,35000.0,11-8-2013,
91350,CA,7.0,30234.64,2-11-2014,
91350,CA,7.0,30450.0,07/17/2013,
91350,CA,7.0,51800.0,07/29/2010,
91354,CA,7.0,34300.0,01/17/2014,
91306,CA,7.0,30450.0,02/26/2013,
91344,CA,7.0,0.0,05/16/2013,
91040,CA,7.0,0.0,06/27/2013,
91360,CA,7.0,46472.49,12/23/2009,
91360,CA,7.0,21600.0,9-3-2013,
91307,CA,7.0,0.0,7-8-2013,
90043,CA,7.0,0.0,7-9-2013,
91361,CA,7.0,32690.0,08/26/2013,
91306,CA,7.0,0.0,10-1-2013,
90049,CA,7.0,0.0,10-8-2013,
91304,CA,7.0,0.0,11-5-2013,
91326,CA,7.0,0.0,11/15/2013,
90005,CA,7.0,0.0,12/27/2013,
91343,CA,7.0,0.0,10/29/2013,
95608,CA,7.0,41073.1,03/19/2010,
92234,CA,7.0,45377.86,01/25/2010,
92240,CA,7.0,34300.0,01/30/2014,
92240,CA,7.0,42000.0,2-3-2014,
92260,CA,7.0,29400.0,02/19/2014,
92260,CA,7.0,32522.68,12-8-2011,
92260,CA,7.0,46332.65,01/14/2009,
92260,CA,7.0,57750.0,02/17/2009,
91362,CA,7.0,42000.0,11/24/2013,
91362,CA,7.0,29751.53,04/29/2013,
91381,CA,7.0,33040.0,1-10-2013,
91384,CA,7.0,42000.0,11-5-2013,
91384,CA,7.0,44283.0,1-5-2010,
95693,CA,7.0,25028.0,4-1-2013,
91390,CA,7.0,42210.0,09/13/2010,
95624,CA,7.0,24000.0,03/15/2013,
95662,CA,7.0,10920.0,03/20/2013,
91390,CA,7.0,55325.0,12-10-2007,
91701,CA,7.0,34300.0,01/29/2014,
95835,CA,7.0,0.0,04/22/2013,
91701,CA,7.0,0.0,07/22/2013,
95624,CA,7.0,28841.94,05/31/2013,
91706,CA,7.0,30080.0,8-12-2013,
95608,CA,7.0,31986.47,06/24/2013,
91708,CA,7.0,27090.0,12/16/2013,
95630,CA,7.0,29620.84,10/29/2013,
95624,CA,7.0,25000.0,07/25/2013,
91709,CA,7.0,36149.35,11-5-2013,
95628,CA,7.0,31042.34,09/26/2013,
95624,CA,7.0,21853.0,08/20/2013,
95742,CA,7.0,30654.57,09/17/2013,
95630,CA,7.0,34300.0,09/19/2013,
91709,CA,7.0,51100.0,10-11-2010,
91710,CA,7.0,28000.0,2-11-2014,
95843,CA,7.0,0.0,09/19/2013,
95835,CA,7.0,0.0,11/26/2013,
95831,CA,7.0,0.0,09/24/2013,
95757,CA,7.0,27992.85,10-3-2013,
95632,CA,7.0,31000.0,11-5-2013,
95758,CA,7.0,0.0,10-3-2013,
95843,CA,7.0,0.0,10-3-2013,
95630,CA,7.0,0.0,10-3-2013,
95742,CA,7.0,0.0,10/14/2013,
95821,CA,7.0,0.0,10/21/2013,
95757,CA,7.0,0.0,11-5-2013,
95864,CA,7.0,0.0,10/31/2013,
95757,CA,7.0,0.0,11/14/2013,
95758,CA,7.0,0.0,11/18/2013,
95621,CA,7.0,0.0,11-12-2013,
95843,CA,7.0,0.0,11/19/2013,
95630,CA,7.0,0.0,11/19/2013,
95758,CA,7.0,0.0,12-10-2013,
95628,CA,7.0,0.0,12-12-2013,
95608,CA,7.0,34300.0,01/14/2014,
95632,CA,7.0,36750.0,1-3-2014,
95683,CA,7.0,34300.0,1-3-2014,
95742,CA,7.0,34300.0,1-10-2014,
93312,CA,7.0,38500.0,08/17/2009,
93312,CA,7.0,34967.0,08/17/2009,
92223,CA,7.0,0.0,11/22/2013,
90631,CA,7.0,44800.0,08/17/2009,
90631,CA,7.0,42000.0,08/16/2013,
90631,CA,7.0,44800.0,09/28/2009,
93730,CA,7.0,42172.0,08/19/2009,
95066,CA,7.0,48213.0,08/19/2009,
93611,CA,7.0,44962.0,08/20/2009,
94549,CA,7.0,44495.96,08/20/2009,
90670,CA,7.0,34300.0,1-9-2014,
93720,CA,7.0,43658.39,08/21/2009,
94534,CA,7.0,43851.0,08/24/2009,
95037,CA,7.0,39706.0,08/24/2009,
95120,CA,7.0,45649.8,08/25/2009,
95120,CA,7.0,38800.0,08/28/2009,
94506,CA,7.0,53501.0,9-10-2009,
94513,CA,7.0,38500.0,09/16/2009,
94531,CA,7.0,31725.0,09/23/2009,
93108,CA,7.0,50723.0,09/23/2009,
94118,CA,7.0,46096.54,09/24/2009,
94951,CA,7.0,49526.81,10-1-2009,
90720,CA,7.0,26614.0,04/18/2012,
90740,CA,7.0,23179.44,10/17/2013,
90740,CA,7.0,25970.0,7-1-2013,
94550,CA,7.0,38210.0,10/16/2009,
95762,CA,7.0,48898.14,10/27/2009,
92037,CA,7.0,46410.05,11-10-2009,
94028,CA,7.0,38800.0,11/17/2009,
93306,CA,7.0,42321.57,11/20/2009,
93308,CA,7.0,44728.82,11/20/2009,
94506,CA,7.0,39649.0,11/20/2009,
95472,CA,7.0,43295.87,11/20/2009,
95121,CA,7.0,40200.0,11/23/2009,
90807,CA,7.0,28087.0,05/22/2013,
95037,CA,7.0,43100.0,11/24/2009,
90808,CA,7.0,29000.0,01/23/2014,
90815,CA,7.0,31091.0,4-3-2013,
95370,CA,7.0,44955.0,12-10-2009,
95762,CA,7.0,44140.0,12/14/2009,
95953,CA,7.0,46125.0,12/18/2009,
95762,CA,7.0,38967.0,12/24/2009,
91301,CA,7.0,46794.1,12/28/2009,
91006,CA,7.0,37592.8,11/29/2013,
92886,CA,7.0,45498.09,12/28/2009,
91007,CA,7.0,30527.0,01/29/2013,
91011,CA,7.0,57995.0,06/13/2008,
