Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
91354,CA,5.0,22854.0,12/10/2013,34.46,-118.57,6;64,Los Angeles,6037
91360,CA,5.0,24500.0,2/10/2014,34.21,-118.88,6;30,Ventura,6111
91360,CA,5.0,22540.0,2/4/2013,34.21,-118.88,6;30,Ventura,6111
90042,CA,5.0,0.0,09/13/2013,34.11,-118.19,5;80,Los Angeles,6037
91360,CA,5.0,24397.15,01/28/2014,34.21,-118.88,6;30,Ventura,6111
91401,CA,5.0,0.0,08/13/2013,34.17,-118.43,6;05,Los Angeles,6037
91361,CA,5.0,24500.0,01/29/2014,34.14,-118.89,6;32,Ventura,6111
91306,CA,5.0,0.0,10/3/2013,34.20,-118.57,6;19,Los Angeles,6037
91343,CA,5.0,0.0,10/17/2013,34.23,-118.47,6;23,Los Angeles,6037
91342,CA,5.0,0.0,10/30/2013,34.32,-118.38,6;55,Los Angeles,6037
91604,CA,5.0,0.0,09/27/2013,34.13,-118.39,6;04,Los Angeles,6037
91342,CA,5.0,0.0,11/6/2013,34.32,-118.38,6;55,Los Angeles,6037
91604,CA,5.0,0.0,11/13/2013,34.13,-118.39,6;04,Los Angeles,6037
90025,CA,5.0,0.0,1/6/2013,34.04,-118.44,5;59,Los Angeles,6037
91335,CA,5.0,0.0,11/5/2013,34.20,-118.54,6;19,Los Angeles,6037
92069,CA,5.0,36587.22,05/21/2013,33.15,-117.17,5;81,San Diego,6073
92075,CA,5.0,0.0,12/17/2013,32.99,-117.25,4;85,San Diego,6073
92234,CA,5.0,24177.5,12/24/2012,33.82,-116.45,7;43,Riverside,6065
92234,CA,5.0,21251.0,12/23/2013,33.82,-116.45,7;43,Riverside,6065
92240,CA,5.0,24500.0,8/2/2013,33.92,-116.48,8;02,Riverside,6065
92240,CA,5.0,24500.0,01/29/2014,33.92,-116.48,8;02,Riverside,6065
92240,CA,5.0,23230.0,3/8/2013,33.92,-116.48,8;02,Riverside,6065
92240,CA,5.0,24500.0,1/6/2014,33.92,-116.48,8;02,Riverside,6065
92256,CA,5.0,24500.0,2/11/2014,34.10,-116.58,8;31,San Bernardino,6071
92260,CA,5.0,20000.0,1/4/2013,33.70,-116.40,7;75,Riverside,6065
92260,CA,5.0,17700.0,1/7/2014,33.70,-116.40,7;75,Riverside,6065
92260,CA,5.0,15800.0,08/27/2013,33.70,-116.40,7;75,Riverside,6065
95662,CA,5.0,21000.0,02/24/2012,38.68,-121.22,5;75,Sacramento,6067
91362,CA,5.0,24500.0,2/6/2014,34.19,-118.81,6;36,Ventura,6111
91362,CA,5.0,32500.0,07/23/2013,34.19,-118.81,6;36,Ventura,6111
91377,CA,5.0,0.0,12/14/2013,34.19,-118.76,6;33,Ventura,6111
91381,CA,5.0,35900.0,09/20/2013,34.37,-118.61,6;65,Los Angeles,6037
91381,CA,5.0,24500.0,2/7/2014,34.37,-118.61,6;65,Los Angeles,6037
91384,CA,5.0,35500.0,10/4/2012,34.51,-118.68,6;83,Los Angeles,6037
91384,CA,5.0,26180.23,10/4/2012,34.51,-118.68,6;83,Los Angeles,6037
95608,CA,5.0,23843.32,09/14/2012,38.62,-121.32,5;66,Sacramento,6067
91384,CA,5.0,19500.0,6/6/2013,34.51,-118.68,6;83,Los Angeles,6037
91387,CA,5.0,30000.0,01/15/2014,34.40,-118.40,6;73,Los Angeles,6037
91387,CA,5.0,24500.0,01/13/2014,34.40,-118.40,6;73,Los Angeles,6037
